Metric,Mar 200615m,Mar 2007,Mar 2008,Mar 2009,Mar 2018,Mar 2019,Mar 2020,Mar 2006
Sales,45,46,48,70,422,483,451,
  └─ Sales Growth %,,1.30%,4.84%,44.94%,,14.59%,-6.59%,
Expenses,65,45,89,93,408,467,436,
  └─ Material Cost %,,88%,86%,82%,77%,76%,76%,87%
    └─ Raw material cost,,41,41,61,337,377,345,26
    └─ Change in inventory,,-0,-0,-4,-12,-8,-1,13
  └─ Manufacturing Cost %,,1%,1%,1%,0%,0%,1%,2%
  └─ Employee Cost %,,3%,4%,6%,5%,5%,6%,24%
  └─ Other Cost %,,7%,96%,45%,14%,14%,14%,30%
Operating Profit,-19,1,-41,-23,14,16,15,
OPM %,-43%,1%,-86%,-33%,3%,3%,3%,
Other Income,-0,1,71,45,1,2,4,
  └─ Exceptional items,,0.24,26.80,19.69,-0.01,-0.01,-0.04,-2.48
  └─ Other income normal,,0.78,43.98,25.41,1.43,1.91,3.66,2.08
Interest,6,4,1,0,1,2,3,
Depreciation,1,1,1,1,1,1,4,
Profit before tax,-27,-3,28,21,13,15,12,
Tax %,0%,1%,2%,1%,29%,36%,35%,
Net Profit,-27,-3,27,21,9,9,8,
  └─ Exceptional items AT,,0.24,26.80,19.69,0.00,-0.01,-0.03,-2.48
  └─ Profit excl Excep,,-3.55,0.52,0.82,9.04,9.40,8.01,-24.69
  └─ Profit for PE,,-3.55,0.52,0.82,9.04,9.40,8.01,-24.69
  └─ Profit for EPS,,-3.31,27.32,20.51,9.04,9.39,7.98,-27.17
  └─ Profit Growth %,,85.62%,114.65%,57.69%,,3.98%,-14.79%,
EPS in Rs,,,,,1.68,1.75,1.49,
Dividend Payout %,0%,0%,0%,0%,45%,46%,0%,
