Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,32,30,26,39,62,74,72,94
  └─ Sales Growth %,,-5.04%,-13.21%,,57.31%,19.89%,-2.73%,29.84%
Expenses,21,20,15,23,28,30,37,58
  └─ Material Cost %,38.62%,30.30%,11.50%,6.50%,15.55%,14.76%,22.63%,28.45%
    └─ Raw material cost,12.19,9.08,2.99,2.78,9.41,11.27,17.45,26.70
    └─ Change in inventory,0.00,0.00,0.00,-0.22,0.23,-0.30,-1.09,0.00
  └─ Manufacturing Cost %,10.52%,16.22%,20.84%,39.06%,19.99%,9.20%,8.81%,0.00%
  └─ Employee Cost %,11.85%,12.58%,15.61%,5.71%,3.08%,7.28%,14.17%,15.39%
  └─ Other Cost %,6.24%,6.47%,9.65%,6.62%,5.92%,9.77%,6.09%,18.03%
Operating Profit,10,10,11,17,34,44,35,36
OPM %,33%,34%,42%,42%,55%,59%,48%,38%
Other Income,2,2,2,2,2,5,6,4
  └─ Exceptional items,0.88,0.01,-0.11,0.04,0.00,0.05,-0.07,0.00
  └─ Other income normal,1.11,2.00,2.48,1.83,2.23,5.29,5.73,3.91
Interest,0,0,0,0,0,0,0,0
Depreciation,2,3,3,4,6,4,4,4
Profit before tax,10,9,11,15,30,45,37,35
Tax %,30%,28%,26%,26%,26%,25%,24%,25%
Net Profit,7,7,8,11,23,34,28,26
  └─ Minority share,-0.04,-0.07,0.00,0.00,0.01,0.13,0.11,0.02
  └─ Exceptional items AT,0.61,0.01,-0.08,0.03,0.00,0.04,-0.06,0.00
  └─ Profit excl Excep,6.35,6.65,7.95,10.82,22.58,33.66,28.14,26.50
  └─ Profit for PE,6.31,6.58,7.95,10.82,22.59,33.79,28.25,26.52
  └─ Profit for EPS,6.92,6.59,7.87,10.85,22.59,33.83,28.19,26.52
  └─ Profit Growth %,,4.22%,20.82%,,108.78%,49.58%,-16.40%,-6.12%
EPS in Rs,1.36,1.30,1.55,2.13,4.44,6.65,5.54,5.21
Dividend Payout %,9%,24%,13%,28%,23%,30%,27%,0%
