Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,4080,4479,4520,4804,5394,6870,7313,7864,8096
  └─ Sales Growth %,,9.79%,0.92%,6.27%,12.30%,27.35%,6.45%,7.53%,2.95%
Expenses,3549,3895,3921,4083,4625,6099,6599,6975,7268
  └─ Material Cost %,69%,69%,68%,68%,69%,68%,68%,67%,68%
    └─ Raw material cost,2814,3115,3197,3306,3661,4746,5118,5323,5394
    └─ Change in inventory,-15,-23,-126,-39,40,-66,-118,-50,122
  └─ Manufacturing Cost %,2%,2%,2%,2%,2%,2%,2%,1%,0%
  └─ Employee Cost %,7%,7%,7%,7%,7%,8%,8%,8%,8%
  └─ Other Cost %,9%,9%,10%,8%,9%,11%,12%,12%,13%
Operating Profit,531,584,599,720,769,770,714,888,827
OPM %,13%,13%,13%,15%,14%,11%,10%,11%,10%
Other Income,31,48,59,76,60,67,67,69,-691
  └─ Exceptional items,0,0,0,27,-13,0,0,0,-756
  └─ Other income normal,31,48,59,49,73,67,67,69,66
Interest,64,60,41,43,35,109,79,48,44
Depreciation,13,13,27,30,42,116,129,153,172
Profit before tax,485,560,591,724,752,612,573,756,-79
Tax %,33%,28%,16%,15%,23%,22%,23%,25%,191%
Net Profit,324,401,496,617,578,476,442,564,-231
  └─ Minority share,0,0,0,0,0,-13,-2,-8,-11
  └─ Exceptional items AT,0,0,0,19,-10,0,0,0,-578
  └─ Profit excl Excep,324,401,496,597,588,476,442,564,347
  └─ Profit for PE,324,401,496,597,588,463,440,556,335
  └─ Profit for EPS,324,401,496,617,578,463,440,556,-242
  └─ Profit Growth %,,24%,24%,20%,-1%,-21%,-5%,26%,-40%
EPS in Rs,5.17,6.40,7.91,9.82,9.13,7.28,6.84,8.64,-3.76
Dividend Payout %,34%,31%,0%,56%,27%,41%,44%,35%,-80%
