Metric,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2015
Sales,2694,2423,2474,2634,2931,3056,1708,2388,3452,3479,3489,3516,
  └─ Sales Growth %,,-10.07%,2.13%,6.46%,11.27%,4.26%,-44.10%,39.76%,44.56%,0.78%,0.29%,0.77%,30.45%
Expenses,2343,2129,2178,2271,2441,2210,1540,1960,2647,2682,2736,2809,
  └─ Material Cost %,,47.53%,46.80%,45.65%,43.91%,42.43%,49.02%,45.52%,43.85%,42.90%,43.69%,44.71%,45.95%
    └─ Raw material cost,,1144,1186,1255,1367,1331,576,1342,1550,1525,1408,1472,1348
    └─ Change in inventory,,7,-28,-53,-80,-34,262,-255,-36,-33,117,100,-111
  └─ Manufacturing Cost %,,2.93%,2.85%,2.92%,2.62%,2.68%,3.10%,2.48%,2.07%,2.14%,2.23%,0.00%,3.04%
  └─ Employee Cost %,,10.79%,11.92%,11.22%,11.30%,12.32%,19.89%,15.86%,12.13%,12.07%,13.25%,12.86%,11.64%
  └─ Other Cost %,,26.61%,26.47%,26.41%,25.46%,14.89%,18.10%,18.24%,18.64%,19.98%,19.25%,22.33%,26.33%
Operating Profit,351,294,296,364,490,846,169,427,804,797,753,707,
OPM %,13%,12%,12%,14%,17%,28%,10%,18%,23%,23%,22%,20%,
Other Income,75,97,18,49,66,66,87,54,39,19,186,30,
  └─ Exceptional items,,71,-28,-2,-2,-3,-7,1,1,-43,120,-49,31
  └─ Other income normal,,27,46,50,68,69,94,53,38,62,66,79,43
Interest,18,16,15,15,14,129,108,99,118,126,141,135,
Depreciation,79,79,65,60,64,296,265,242,295,339,371,420,
Profit before tax,329,297,234,337,478,487,-117,140,430,351,426,182,
Tax %,30%,27%,32%,35%,31%,32%,-23%,26%,25%,25%,22%,26%,
Net Profit,231,217,159,221,329,329,-89,103,323,263,331,134,
  └─ Exceptional items AT,,48,-17,-1,-1,-2,-7,0,1,-30,89,-32,20
  └─ Profit excl Excep,,169,176,222,330,331,-82,103,322,293,242,166,211
  └─ Profit for PE,,169,176,222,330,331,-82,103,322,293,242,166,211
  └─ Profit for EPS,,217,159,221,329,329,-89,103,323,263,331,134,231
  └─ Profit Growth %,,-20%,4%,26%,49%,0%,-125%,224%,214%,-9%,-17%,-31%,6%
EPS in Rs,18.00,16.91,12.37,17.16,25.60,25.59,-6.95,8.01,25.13,20.42,25.73,10.44,
Dividend Payout %,18%,21%,28%,23%,24%,16%,-58%,680%,54%,59%,74%,86%,
