Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,169,211,247,270,357,421,477,374,411
  └─ Sales Growth %,,24.92%,16.87%,9.63%,32.26%,17.67%,13.39%,-21.52%,9.92%
Expenses,117,155,183,191,296,333,381,266,318
  └─ Material Cost %,37.41%,41.64%,38.01%,27.60%,39.91%,44.65%,45.22%,28.31%,26.58%
    └─ Raw material cost,62,88,95,79,138,229,183,113,117
    └─ Change in inventory,1,-0,-1,-4,5,-42,32,-7,-7
  └─ Manufacturing Cost %,16.60%,16.42%,11.50%,23.82%,22.08%,15.85%,13.69%,16.97%,0.00%
  └─ Employee Cost %,6.73%,5.78%,5.84%,5.95%,5.49%,5.85%,5.72%,7.91%,8.16%
  └─ Other Cost %,8.63%,9.57%,19.02%,13.24%,15.38%,12.81%,15.34%,17.88%,42.51%
Operating Profit,52,56,63,79,61,88,96,108,94
OPM %,31%,27%,26%,29%,17%,21%,20%,29%,23%
Other Income,52,-2,-7,-4,2,8,13,-27,34
  └─ Exceptional items,50.92,-3.18,-7.45,-5.85,-0.81,-0.25,0.52,-44.00,8.77
  └─ Other income normal,1.25,0.95,0.34,1.46,3.08,8.21,12.96,16.96,25.44
Interest,11,10,9,7,4,4,5,7,6
Depreciation,12,12,13,15,15,17,20,22,24
Profit before tax,81,31,34,53,45,74,84,52,98
Tax %,-0%,-0%,-0%,59%,28%,26%,27%,27%,25%
Net Profit,81,31,34,22,33,55,61,38,73
  └─ Exceptional items AT,51,-3,-7,-2,-1,-0,0,-32,7
  └─ Profit excl Excep,30,34,41,24,33,55,61,70,67
  └─ Profit for PE,30,34,41,24,33,55,61,70,67
  └─ Profit for EPS,81,31,34,22,33,55,61,38,73
  └─ Profit Growth %,,16%,19%,-41%,37%,66%,10%,15%,-5%
EPS in Rs,15.58,6.04,6.50,3.51,5.24,8.45,8.53,5.29,10.19
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
