Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,175,178,228,188,200,326,387,328,431,582
  └─ Sales Growth %,,1.70%,27.70%,-17.54%,6.66%,63.03%,18.50%,-15.18%,31.51%,34.84%
Expenses,146,155,174,160,165,286,351,292,374,518
  └─ Material Cost %,57%,58%,50%,48%,45%,60%,64%,61%,62%,70%
    └─ Raw material cost,101,103,115,91,92,200,259,195,258,411
    └─ Change in inventory,-1,1,-1,-2,-2,-5,-12,5,8,-2
  └─ Manufacturing Cost %,9%,11%,12%,15%,15%,10%,9%,8%,7%,2%
  └─ Employee Cost %,7%,8%,6%,9%,8%,6%,6%,7%,6%,5%
  └─ Other Cost %,9%,11%,9%,14%,13%,12%,11%,13%,11%,11%
Operating Profit,30,23,54,28,35,41,36,36,57,63
OPM %,17%,13%,24%,15%,18%,12%,9%,11%,13%,11%
Other Income,1,1,1,6,8,6,3,10,1,1
  └─ Exceptional items,0.00,-0.01,0.00,0.00,0.00,0.29,1.19,8.47,-0.31,0.00
  └─ Other income normal,0.53,0.89,1.00,6.23,7.78,5.76,1.74,1.97,1.34,1.03
Interest,5,4,3,2,2,5,11,14,10,10
Depreciation,4,4,5,6,7,8,18,16,17,16
Profit before tax,21,16,47,26,34,34,11,17,31,39
Tax %,21%,21%,2%,-22%,4%,38%,35%,33%,31%,30%
Net Profit,17,12,46,31,33,21,7,12,22,27
  └─ Exceptional items AT,0.00,-0.01,0.00,0.00,0.00,0.18,0.78,5.69,-0.21,0.00
  └─ Profit excl Excep,17.05,12.31,46.14,31.46,32.58,21.16,6.15,5.90,21.74,27.33
  └─ Profit for PE,17.05,12.31,46.14,31.46,32.58,21.16,6.15,5.90,21.74,27.33
  └─ Profit for EPS,17.05,12.30,46.14,31.46,32.58,21.34,6.93,11.59,21.53,27.33
  └─ Profit Growth %,,-27.80%,274.82%,-31.82%,3.56%,-35.05%,-70.94%,-4.07%,268.47%,25.71%
EPS in Rs,7.80,4.93,18.50,12.61,13.06,8.56,2.78,4.65,8.63,10.96
Dividend Payout %,0%,10%,8%,0%,15%,6%,0%,22%,29%,23%
