Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,2355,2966,3422,2819,3191,2365,3830,4820,5022
  └─ Sales Growth %,,25.92%,15.41%,-17.64%,13.20%,-25.90%,61.99%,25.83%,4.19%
Expenses,1891,2394,2711,2096,2564,2103,2949,3925,4210
  └─ Material Cost %,50.56%,50.72%,52.48%,43.27%,50.62%,47.39%,45.30%,44.16%,43.87%
    └─ Raw material cost,1166,1504,1796,1220,1619,1122,1734,2134,2196
    └─ Change in inventory,25,0,0,0,-4,-1,1,-5,7
  └─ Manufacturing Cost %,12.85%,15.37%,12.90%,14.67%,15.93%,22.69%,17.44%,21.29%,0.00%
  └─ Employee Cost %,11.52%,9.36%,8.94%,10.37%,9.83%,14.25%,10.18%,8.85%,9.41%
  └─ Other Cost %,5.34%,5.28%,4.89%,6.04%,3.97%,4.60%,4.07%,7.13%,30.57%
Operating Profit,465,571,711,723,627,262,882,895,811
OPM %,20%,19%,21%,26%,20%,11%,23%,19%,16%
Other Income,189,226,245,203,260,269,310,389,410
  └─ Exceptional items,7,7,2,13,-3,62,0,0,0
  └─ Other income normal,183,219,243,191,263,207,310,389,410
Interest,12,15,50,58,53,43,46,55,92
Depreciation,38,34,49,60,68,69,75,103,130
Profit before tax,604,748,858,808,766,418,1071,1125,999
Tax %,34%,36%,26%,25%,26%,27%,27%,26%,28%
Net Profit,396,478,632,609,564,305,783,827,717
  └─ Minority share,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,4,4,2,9,-2,45,0,0,0
  └─ Profit excl Excep,392,474,630,600,566,260,783,827,717
  └─ Profit for PE,392,474,630,600,566,260,783,827,717
  └─ Profit for EPS,396,478,632,609,564,305,783,827,717
  └─ Profit Growth %,,21%,33%,-5%,-6%,-54%,202%,6%,-13%
EPS in Rs,14.58,18.17,24.02,23.13,21.44,11.58,29.77,31.45,27.24
Dividend Payout %,41%,36%,35%,34%,39%,73%,33%,31%,6%
