Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,649,716,885,680,829,1057
  └─ Sales Growth %,,10.35%,23.57%,-23.11%,21.78%,27.61%
Expenses,466,502,688,594,709,884
  └─ Material Cost %,45%,44%,53%,55%,52%,55%
    └─ Raw material cost,312,357,537,357,448,616
    └─ Change in inventory,-20,-44,-68,20,-16,-35
  └─ Manufacturing Cost %,15%,14%,15%,18%,19%,0%
  └─ Employee Cost %,4%,4%,4%,6%,7%,6%
  └─ Other Cost %,8%,8%,6%,7%,8%,23%
Operating Profit,183,214,197,87,120,174
OPM %,28%,30%,22%,13%,14%,16%
Other Income,6,13,13,15,15,21
  └─ Exceptional items,0.13,1.02,0.16,0.13,0.18,0.00
  └─ Other income normal,6.29,12.14,13.07,15.01,14.65,20.97
Interest,3,7,7,4,5,7
Depreciation,6,9,11,15,18,21
Profit before tax,180,212,192,82,111,166
Tax %,25%,25%,25%,27%,26%,28%
Net Profit,135,158,143,60,82,120
  └─ Exceptional items AT,0,1,0,0,0,0
  └─ Profit excl Excep,134,157,143,60,82,120
  └─ Profit for PE,134,157,143,60,82,120
  └─ Profit for EPS,135,158,143,60,82,120
  └─ Profit Growth %,,17%,-9%,-58%,37%,46%
EPS in Rs,12.03,13.72,12.44,5.22,7.14,10.41
Dividend Payout %,3%,5%,6%,14%,11%,7%
