Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,571508,628043,690914,723606,784628,845966,889970,977772
  └─ Sales Growth %,,9.89%,10.01%,4.73%,8.43%,7.82%,5.20%,9.87%
Expenses,565587,634989,691166,720280,750498,813316,836692,930108
  └─ Manufacturing Cost %,91%,92%,92%,94%,91%,90%,89%,0%
  └─ Employee Cost %,3%,4%,4%,4%,5%,5%,3%,3%
  └─ Other Cost %,4%,6%,4%,1%,-1%,1%,2%,92%
Operating Profit,5920,-6947,-252,3326,34130,32651,53278,47664
OPM %,1%,-1%,-0%,0%,4%,4%,6%,5%
Other Income,2615,20870,12820,9248,7800,14829,3495,5812
  └─ Exceptional items,8,0,0,40,80,142,372,0
  └─ Other income normal,2607,20870,12820,9207,7720,14687,3124,5812
Interest,0,0,0,0,0,0,0,0
Depreciation,336,379,417,436,466,466,506,0
Profit before tax,8199,13544,12151,12138,41463,47014,56267,53475
Tax %,68%,80%,76%,66%,13%,13%,14%,-7%
Net Profit,2627,2710,2974,4125,35997,40916,48320,57453
  └─ Exceptional items AT,3,0,0,14,69,124,319,0
  └─ Profit excl Excep,2625,2710,2974,4111,35927,40792,48001,57453
  └─ Profit for PE,2625,2710,2974,4111,35927,40792,48001,57453
  └─ Profit for EPS,2627,2710,2974,4125,35997,40916,48320,57453
  └─ Profit Growth %,,3%,10%,38%,774%,14%,18%,20%
EPS in Rs,,,,3.26,28.46,32.34,38.20,45.42
Dividend Payout %,2%,2%,0%,23%,5%,15%,16%,11%
