Metric,Mar 2025,Mar 2026
Sales,637,748
  └─ Sales Growth %,,17.48%
Expenses,519,567
  └─ Material Cost %,40.92%,38.28%
    └─ Raw material cost,261,285
    └─ Change in inventory,-1,2
  └─ Manufacturing Cost %,33.86%,31.20%
  └─ Employee Cost %,2.48%,2.18%
  └─ Other Cost %,4.27%,4.17%
Operating Profit,118,181
OPM %,18%,24%
Other Income,48,30
  └─ Exceptional items,0.90,24.69
  └─ Other income normal,47.20,5.55
Interest,1,0
Depreciation,5,5
Profit before tax,160,205
Tax %,19%,24%
Net Profit,129,157
  └─ Exceptional items AT,1,31
  └─ Profit excl Excep,128,126
  └─ Profit for PE,128,126
  └─ Profit for EPS,129,157
  └─ Profit Growth %,,-1%
EPS in Rs,56.48,68.64
Dividend Payout %,13%,13%
