Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,521,1387,1322,1617,1268,1444,1289,1284,1369
  └─ Sales Growth %,,166.17%,-4.68%,22.33%,-21.56%,13.83%,-10.73%,-0.40%,6.64%
Expenses,464,1174,1062,1231,1188,1309,1384,1077,1182
  └─ Material Cost %,52%,51%,45%,45%,52%,55%,62%,49%,50%
    └─ Raw material cost,274,739,653,727,913,782,766,587,676
    └─ Change in inventory,-2,-34,-54,-2,-259,7,39,39,8
  └─ Manufacturing Cost %,16%,12%,13%,11%,15%,14%,18%,13%,0%
  └─ Employee Cost %,13%,13%,15%,14%,19%,16%,19%,17%,16%
  └─ Other Cost %,8%,8%,7%,6%,8%,6%,8%,6%,20%
Operating Profit,57,213,260,386,81,134,-95,206,187
OPM %,11%,15%,20%,24%,6%,9%,-7%,16%,14%
Other Income,2,12,27,29,16,22,-185,8,0
  └─ Exceptional items,0.22,0.44,-0.32,2.00,-4.26,-0.45,-189.81,0.00,-5.89
  └─ Other income normal,2.24,11.94,27.52,26.77,20.02,22.55,5.01,8.32,6.16
Interest,25,82,78,84,75,90,105,115,95
Depreciation,34,83,94,109,112,111,103,99,100
Profit before tax,0,60,115,222,-91,-45,-488,1,-7
Tax %,-70%,1%,0%,0%,-36%,-50%,16%,0%,0%
Net Profit,0,59,115,221,-58,-22,-567,1,-7
  └─ Minority share,0,0,0,0,0,0,-0,0,0
  └─ Exceptional items AT,-1,0,-0,2,-4,-0,-159,0,-6
  └─ Profit excl Excep,2,59,115,220,-54,-22,-408,1,-2
  └─ Profit for PE,2,59,115,220,-54,-22,-408,1,-2
  └─ Profit for EPS,0,60,115,221,-58,-22,-567,1,-7
  └─ Profit Growth %,,3282%,94%,91%,-125%,60%,-1778%,100%,-381%
EPS in Rs,,17.30,32.01,46.22,-12.11,-4.62,-118.21,0.15,-2.05
Dividend Payout %,0%,22%,5%,11%,0%,-49%,0%,0%,0%
