Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,403,503,586,739,847,507,861,1234,1255,1233,1339
  └─ Sales Growth %,,24.92%,16.46%,26.04%,14.61%,-40.13%,69.71%,43.37%,1.68%,-1.71%,8.57%
Expenses,354,440,463,610,683,461,727,1003,1042,1022,1146
  └─ Material Cost %,37.04%,35.70%,0.00%,0.00%,34.50%,35.15%,35.41%,33.65%,33.35%,31.78%,33.60%
    └─ Raw material cost,149,180,0,0,292,178,305,415,418,392,450
  └─ Manufacturing Cost %,12.61%,10.80%,46.80%,47.27%,12.94%,14.96%,15.04%,14.46%,14.85%,14.28%,0.00%
  └─ Employee Cost %,17.26%,18.25%,21.44%,22.73%,23.32%,26.66%,21.92%,21.69%,22.34%,24.07%,24.13%
  └─ Other Cost %,20.95%,22.62%,10.67%,12.59%,9.83%,14.06%,12.09%,11.51%,12.54%,12.74%,27.86%
Operating Profit,49,64,124,129,164,46,134,231,212,211,193
OPM %,12%,13%,21%,17%,19%,9%,16%,19%,17%,17%,14%
Other Income,0,0,7,-7,20,48,27,12,18,16,15
  └─ Exceptional items,0.00,0.00,2.63,-10.27,16.20,1.96,1.91,3.83,0.00,0.00,0.00
  └─ Other income normal,0.38,0.45,4.11,3.53,3.82,46.05,24.86,8.02,17.57,15.91,14.82
Interest,10,14,54,56,76,85,65,72,76,78,86
Depreciation,25,33,70,90,134,121,127,145,168,176,190
Profit before tax,14,16,7,-24,-25,-112,-32,26,-14,-27,-68
Tax %,57%,47%,188%,60%,31%,-18%,-21%,26%,-20%,-0%,-9%
Net Profit,6,9,-6,-38,-33,-92,-25,19,-11,-27,-62
  └─ Minority share,0,0,0,0,1,1,-0,-2,-2,-1,3
  └─ Exceptional items AT,0,0,-4,-2,16,2,2,3,0,0,0
  └─ Profit excl Excep,6,9,-2,-36,-49,-94,-27,16,-11,-27,-62
  └─ Profit for PE,6,9,-2,-36,-48,-92,-28,14,-13,-28,-59
  └─ Profit for EPS,6,9,-6,-38,-32,-90,-26,17,-13,-28,-59
  └─ Profit Growth %,,49%,-125%,-1493%,-34%,-91%,70%,153%,-193%,-107%,-113%
EPS in Rs,4.55,3.34,-2.10,-13.72,-11.57,-26.65,-6.58,4.37,-3.43,-7.11,-15.13
Dividend Payout %,33%,0%,-48%,-7%,0%,0%,0%,0%,0%,0%,0%
