Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1705,1578,1521,1654,2072,2057,2921,3684,4362
  └─ Sales Growth %,,-7.43%,-3.66%,8.78%,25.24%,-0.73%,42.02%,26.12%,18.40%
Expenses,652,589,698,715,915,766,1216,1292,1655
  └─ Material Cost %,0.00%,0.05%,2.76%,3.25%,0.00%,0.00%,5.14%,0.00%,0.00%
    └─ Raw material cost,0.00,20.56,22.23,53.82,0.00,0.00,150.04,0.00,0.00
    └─ Change in inventory,0.00,-19.75,19.75,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Manufacturing Cost %,4.58%,6.19%,11.00%,8.78%,10.76%,5.97%,6.20%,4.42%,0.00%
  └─ Employee Cost %,22.92%,21.08%,24.62%,24.83%,28.62%,24.75%,23.62%,24.12%,25.97%
  └─ Other Cost %,10.76%,9.98%,7.49%,6.37%,4.78%,6.52%,6.68%,6.54%,11.98%
Operating Profit,1053,990,823,939,1157,1291,1705,2391,2707
OPM %,62%,63%,54%,57%,56%,63%,58%,65%,62%
Other Income,10,1,6,2,6,5,4,-87,116
  └─ Exceptional items,0,-0,-1,-2,-0,0,0,-88,0
  └─ Other income normal,10,1,7,5,6,5,4,0,116
Interest,559,431,502,414,370,399,643,887,1090
Depreciation,14,22,41,43,42,46,57,71,155
Profit before tax,490,538,286,485,751,850,1009,1347,1577
Tax %,22%,30%,30%,24%,23%,23%,20%,25%,23%
Net Profit,380,375,201,369,578,658,804,1015,1216
  └─ Minority share,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,-0,-1,-2,-0,0,0,-66,0
  └─ Profit excl Excep,380,375,202,371,578,658,804,1081,1216
  └─ Profit for PE,380,375,202,371,578,658,804,1081,1216
  └─ Profit for EPS,380,375,201,369,578,658,804,1015,1216
  └─ Profit Growth %,,-1%,-46%,84%,56%,14%,22%,34%,12%
EPS in Rs,,,5.77,10.50,16.28,18.48,22.41,25.83,29.94
Dividend Payout %,19%,23%,87%,167%,84%,373%,74%,23%,0%
