Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,2713,2642,2526,2775,3349,3135,2717,3058,3730,4001,4492,4538
  └─ Sales Growth %,1.41%,-2.62%,-4.38%,9.86%,20.67%,-6.38%,-13.36%,12.56%,22.00%,7.27%,12.27%,1.02%
Expenses,2520,2567,2431,2625,3221,2928,2475,2852,3330,3481,3883,3994
  └─ Material Cost %,53.19%,50.67%,51.19%,52.49%,54.61%,52.37%,53.36%,54.95%,52.40%,49.56%,48.92%,49.38%
    └─ Raw material cost,1508,1381,1329,1496,1926,1644,1445,1682,1973,2077,2209,2293
    └─ Change in inventory,-65,-42,-36,-39,-97,-2,4,-1,-18,-94,-12,-52
  └─ Manufacturing Cost %,8.35%,14.67%,10.63%,11.40%,10.19%,10.22%,9.08%,11.24%,11.05%,11.42%,11.59%,0.00%
  └─ Employee Cost %,15.36%,16.32%,18.59%,17.27%,17.48%,16.99%,18.06%,16.47%,15.21%,16.88%,15.83%,17.17%
  └─ Other Cost %,15.99%,15.51%,15.81%,13.41%,13.89%,13.82%,10.61%,10.60%,10.60%,9.15%,10.10%,21.46%
Operating Profit,193,75,95,151,128,207,241,206,400,520,609,544
OPM %,7%,3%,4%,5%,4%,7%,9%,7%,11%,13%,14%,12%
Other Income,15,27,31,21,23,37,53,32,22,65,64,38
  └─ Exceptional items,-2,-0,-0,0,0,0,2,3,-1,14,5,-39
  └─ Other income normal,16,27,31,21,23,37,51,29,23,51,59,77
Interest,50,51,45,40,47,52,44,33,35,26,25,30
Depreciation,95,66,65,59,64,71,68,70,69,78,89,100
Profit before tax,63,-15,16,73,41,121,182,135,318,481,559,452
Tax %,28%,-25%,111%,37%,113%,44%,15%,40%,29%,29%,28%,20%
Net Profit,45,-23,4,50,3,72,161,94,236,350,419,377
  └─ Profit from Associates,0,-12,5,3,8,4,7,13,11,10,15,16
  └─ Minority share,-4,-1,0,-1,0,0,0,-0,-1,-2,-3,-4
  └─ Exceptional items AT,-1,-0,0,0,-0,0,1,2,-1,10,3,-31
  └─ Profit excl Excep,46,-23,4,50,3,72,159,92,237,340,415,408
  └─ Profit for PE,42,-24,4,49,4,72,160,92,236,339,412,404
  └─ Profit for EPS,41,-24,4,49,3,72,161,94,235,348,415,374
  └─ Profit Growth %,-40%,-157%,116%,1193%,-93%,1932%,123%,-42%,155%,44%,22%,-2%
EPS in Rs,5.18,-3.04,0.48,6.22,0.44,9.05,20.29,11.88,29.59,43.84,52.29,47.04
Dividend Payout %,10%,-16%,207%,40%,570%,28%,15%,25%,15%,14%,13%,15%
