Metric,Dec 2011,Dec 2012,Dec 2024,Dec 2025,TTM
Sales,7449,7608,12188,13203,13093
  └─ Sales Growth %,,2.13%,,8.32%,
Expenses,7093,7253,9877,11158,11243
  └─ Material Cost %,67%,65%,55%,58%,
    └─ Raw material cost,5047,4980,6915,7756,
    └─ Change in inventory,-85,-0,-166,-131,
  └─ Manufacturing Cost %,8%,8%,5%,6%,
  └─ Employee Cost %,8%,8%,7%,7%,
  └─ Other Cost %,13%,14%,14%,14%,
Operating Profit,356,355,2311,2045,1850
OPM %,5%,5%,19%,15%,14%
Other Income,38,7,344,349,1814
  └─ Exceptional items,-4,2,-9,-3,
  └─ Other income normal,41,6,353,352,
Interest,46,57,16,20,19
Depreciation,80,94,129,146,154
Profit before tax,268,211,2510,2229,3491
Tax %,31%,33%,25%,25%,
Net Profit,185,141,1872,1668,2977
  └─ Exceptional items AT,-2,1,-5,-1,
  └─ Profit excl Excep,187,140,1876,1670,
  └─ Profit for PE,187,140,1876,1670,
  └─ Profit for EPS,185,141,1872,1668,
  └─ Profit Growth %,,-25%,,-11%,
EPS in Rs,8.72,6.65,88.33,78.73,140.50
Dividend Payout %,34%,45%,50%,50%,
