Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales,1229,1529,1541,1449,1526,1942,1674,1309,1303,1060,760
  └─ Sales Growth %,,24.40%,0.77%,-6.00%,5.36%,27.23%,-13.81%,-21.76%,-0.47%,-18.64%,-28.37%
Expenses,1150,1440,1456,1394,1467,1863,1654,1305,1313,1024,762
  └─ Material Cost %,73%,76%,76%,78%,77%,77%,80%,82%,81%,75%,76%
    └─ Raw material cost,907,1180,1222,1091,1148,1575,1305,1022,1036,821,564
    └─ Change in inventory,-12,-23,-54,33,21,-83,28,47,18,-31,14
  └─ Manufacturing Cost %,1%,1%,1%,1%,1%,1%,1%,1%,1%,3%,3%
  └─ Employee Cost %,5%,5%,4%,5%,5%,5%,6%,6%,7%,7%,9%
  └─ Other Cost %,14%,13%,13%,13%,13%,13%,12%,11%,12%,12%,12%
Operating Profit,79,89,85,54,59,79,20,4,-10,37,-3
OPM %,6%,6%,6%,4%,4%,4%,1%,0%,-1%,3%,-0%
Other Income,9,7,7,5,5,2,-2,2,2,10,22
  └─ Exceptional items,-0.13,-0.07,-0.12,-1.04,-0.01,-0.58,-4.96,0.03,0.74,9.58,18.68
  └─ Other income normal,8.65,6.61,6.83,5.80,4.80,2.78,2.85,2.29,1.25,0.87,3.13
Interest,18,21,24,29,18,20,36,39,38,34,30
Depreciation,25,23,27,21,22,24,23,17,16,15,12
Profit before tax,45,52,42,9,25,37,-41,-49,-62,-2,-23
Tax %,41%,30%,15%,13%,19%,22%,-6%,-37%,0%,137%,-16%
Net Profit,27,36,36,8,20,29,-39,-31,-62,-5,-19
  └─ Minority share,-0,-0,-0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,-0,-0,-0,-1,-0,-0,-5,0,1,7,19
  └─ Profit excl Excep,27,36,36,9,20,29,-34,-31,-63,-12,-38
  └─ Profit for PE,27,36,36,9,20,29,-34,-31,-63,-11,-38
  └─ Profit for EPS,26,36,36,8,20,29,-39,-31,-62,-5,-19
  └─ Profit Growth %,,36%,-1%,-75%,126%,47%,-215%,8%,-101%,82%,-232%
EPS in Rs,,,,,0.84,1.22,-1.62,-1.31,-2.61,-0.19,-0.82
Dividend Payout %,40%,30%,40%,34%,67%,49%,0%,0%,0%,0%,0%
