Metric,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2016
Sales,252,239,402,540,649,863,1061,1269,1467,1694,1937,2187,
  └─ Sales Growth %,45.46%,,68.25%,34.41%,20.16%,33.07%,22.95%,19.61%,15.54%,15.50%,14.37%,12.89%,37.92%
Expenses,192,175,276,345,417,603,732,874,1025,1142,1287,1426,
  └─ Material Cost %,53.87%,,46.04%,44.12%,44.52%,47.86%,44.45%,43.92%,45.22%,42.75%,39.79%,39.58%,50.75%
    └─ Raw material cost,136,,185,241,299,608,389,589,710,767,732,929,122
    └─ Change in inventory,-1,,0,-2,-10,-195,82,-32,-47,-43,39,-64,-1
  └─ Manufacturing Cost %,7.46%,,6.78%,4.88%,4.62%,3.66%,3.20%,3.63%,3.91%,4.93%,4.52%,0.00%,7.31%
  └─ Employee Cost %,7.46%,,7.67%,7.25%,7.26%,7.85%,9.66%,9.08%,9.34%,8.48%,9.17%,9.11%,7.74%
  └─ Other Cost %,7.50%,,8.33%,7.57%,7.86%,10.49%,11.67%,12.25%,11.42%,11.24%,12.93%,16.53%,7.30%
Operating Profit,60,64,125,195,232,260,329,395,442,552,651,761,
OPM %,24%,27%,31%,36%,36%,30%,31%,31%,30%,33%,34%,35%,
Other Income,3,4,10,13,19,41,23,38,55,66,92,116,
  └─ Exceptional items,-0,,-0,2,2,5,6,1,1,1,0,0,0
  └─ Other income normal,3,,10,11,17,36,17,37,54,65,92,116,4
Interest,1,0,1,1,1,0,2,1,1,1,1,1,
Depreciation,8,7,13,19,23,32,37,47,45,53,66,73,
Profit before tax,53,60,121,188,227,269,314,386,451,564,677,803,
Tax %,23%,24%,21%,23%,22%,20%,20%,20%,16%,18%,20%,19%,
Net Profit,41,46,96,145,177,215,251,308,377,461,541,650,
  └─ Minority share,-0,,0,0,0,-0,-9,-9,-1,-4,-5,-8,0
  └─ Exceptional items AT,-0,,-0,1,1,4,4,1,1,1,0,0,0
  └─ Profit excl Excep,41,,96,143,175,211,247,308,376,460,541,650,46
  └─ Profit for PE,41,,96,144,175,211,238,299,375,456,536,641,46
  └─ Profit for EPS,41,,96,145,177,215,242,300,376,457,536,641,46
  └─ Profit Growth %,59%,,110%,50%,22%,21%,13%,26%,25%,22%,18%,20%,77%
EPS in Rs,5.43,6.05,12.65,19.15,23.35,28.42,32.03,39.56,49.57,60.19,70.56,84.36,
Dividend Payout %,18%,20%,12%,10%,9%,9%,9%,10%,9%,8%,8%,5%,
