Metric,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2015
Sales,3305,2838,2908,2871,3128,3224,2926,3278,3252,3454,3749,3822,
  └─ Sales Growth %,,-14.12%,2.49%,-1.27%,8.94%,3.08%,-9.27%,12.05%,-0.80%,6.21%,8.56%,1.93%,28.95%
Expenses,2672,2360,2489,2363,2527,2567,2327,2516,2447,2545,2570,2512,
  └─ Material Cost %,,43.45%,48.06%,43.23%,43.41%,40.56%,42.96%,41.37%,39.51%,38.64%,37.10%,35.35%,45.71%
    └─ Raw material cost,,1378,1314,1299,1332,1343,1295,1341,1216,1398,1345,1347,1514
    └─ Change in inventory,,-144,83,-58,26,-35,-38,16,69,-64,46,4,-4
  └─ Manufacturing Cost %,,8.31%,4.68%,4.77%,4.59%,4.47%,4.67%,4.51%,3.96%,4.15%,3.85%,3.45%,4.76%
  └─ Employee Cost %,,15.66%,16.65%,18.28%,17.24%,19.53%,21.13%,18.66%,18.35%,18.13%,15.50%,15.93%,14.94%
  └─ Other Cost %,,15.72%,16.18%,16.02%,15.55%,15.05%,10.79%,12.21%,13.44%,12.77%,12.10%,11.01%,15.44%
Operating Profit,633,478,420,508,601,657,598,762,804,909,1179,1309,
OPM %,19%,17%,14%,18%,19%,20%,20%,23%,25%,26%,31%,34%,
Other Income,149,125,119,70,131,-262,9,1401,103,-21,149,166,
  └─ Exceptional items,,3,46,15,30,-339,-102,1326,33,-94,73,100,-51
  └─ Other income normal,,123,73,55,101,77,111,75,70,73,76,66,200
Interest,0,0,0,0,1,6,4,2,2,2,1,3,
Depreciation,25,25,27,38,49,83,79,68,66,70,67,66,
Profit before tax,756,578,511,540,683,306,525,2093,839,816,1260,1406,
Tax %,37%,35%,34%,35%,35%,70%,32%,19%,27%,28%,26%,26%,
Net Profit,476,376,337,351,445,93,358,1695,611,590,928,1036,
  └─ Exceptional items AT,,2,30,10,20,-51,-118,11,21,-67,54,74,-32
  └─ Profit excl Excep,,374,307,341,426,144,476,1684,590,657,874,962,509
  └─ Profit for PE,,374,307,341,426,144,476,1684,590,657,874,962,509
  └─ Profit for EPS,,376,337,351,445,93,358,1695,611,590,928,1036,476
  └─ Profit Growth %,,-26%,-18%,11%,25%,-66%,231%,254%,-65%,11%,33%,10%,10%
EPS in Rs,28.12,22.20,19.88,20.70,26.29,5.50,21.14,100.04,36.05,34.83,54.75,61.15,
Dividend Payout %,111%,113%,75%,85%,76%,727%,142%,90%,89%,92%,99%,93%,
