Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,69,100,93,59,85,91,291,155,985
  └─ Sales Growth %,,44%,-7%,-37%,44%,8%,219%,-47%,537%
Expenses,49,59,62,48,61,45,48,39,782
  └─ Material Cost %,0.00%,0.00%,0.00%,0.00%,4.38%,0.00%,0.00%,0.00%,48.74%
    └─ Raw material cost,0,0,0,0,4,0,0,0,447
    └─ Change in inventory,0,0,0,0,0,0,0,0,33
  └─ Manufacturing Cost %,2.91%,3.48%,3.06%,3.35%,7.36%,1.83%,0.73%,2.26%,0.00%
  └─ Employee Cost %,41.30%,40.19%,45.94%,58.96%,41.39%,34.05%,10.87%,16.94%,12.59%
  └─ Other Cost %,25.81%,15.56%,17.76%,20.12%,18.85%,13.68%,5.01%,5.89%,18.05%
Operating Profit,21,41,31,10,24,46,243,116,203
OPM %,30%,41%,33%,18%,28%,50%,83%,75%,21%
Other Income,3,2,5,6,3,3,6,5,60
  └─ Exceptional items,1,0,0,0,0,0,0,0,0
  └─ Other income normal,2,2,5,6,3,3,6,5,60
Interest,0,0,0,0,1,0,1,1,25
Depreciation,1,1,1,2,4,2,3,3,16
Profit before tax,23,42,35,14,22,47,245,117,221
Tax %,22%,28%,16%,32%,21%,32%,21%,34%,25%
Net Profit,130,137,78,74,161,238,533,412,530
  └─ Profit from Associates,112,107,49,64,143,206,341,335,364
  └─ Minority share,0,0,0,0,2,0,0,0,-8
  └─ Exceptional items AT,1,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,129,137,78,74,161,238,533,412,530
  └─ Profit for PE,129,137,78,74,163,238,533,412,522
  └─ Profit for EPS,130,137,78,74,163,238,533,412,522
  └─ Profit Growth %,,7%,-43%,-5%,121%,46%,124%,-23%,27%
EPS in Rs,5.84,6.19,3.52,3.33,7.35,10.70,24.00,18.55,23.49
Dividend Payout %,17%,19%,24%,10%,37%,37%,32%,32%,0%
