Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Sales,233,316,216,187,293,682,799,424,324,325
  └─ Sales Growth %,,35.59%,-31.43%,-13.38%,56.10%,133.26%,17.07%,-46.90%,-23.69%,0.25%
Expenses,208,375,216,187,291,668,786,423,326,331
  └─ Material Cost %,35%,60%,81%,79%,87%,91%,92%,91%,95%,96%
    └─ Raw material cost,79,191,177,159,272,678,694,360,367,300
    └─ Change in inventory,2,-3,-1,-10,-19,-60,40,25,-61,13
  └─ Manufacturing Cost %,34%,13%,1%,2%,1%,0%,1%,1%,0%,0%
  └─ Employee Cost %,9%,7%,6%,7%,5%,2%,2%,3%,1%,1%
  └─ Other Cost %,11%,40%,11%,12%,7%,5%,4%,5%,4%,4%
Operating Profit,25,-60,0,0,2,15,13,1,-2,-7
OPM %,11%,-19%,0%,0%,1%,2%,2%,0%,-1%,-2%
Other Income,3,63,16,5,2,-6,-4,4,1,-21
  └─ Exceptional items,-0.01,-23.23,6.04,0.50,-0.02,-7.79,-5.21,-1.36,0.10,-21.71
  └─ Other income normal,2.94,86.59,9.98,4.40,2.02,2.15,1.63,5.36,1.00,0.64
Interest,42,29,5,4,5,3,3,2,0,0
Depreciation,61,38,3,3,4,3,2,2,0,1
Profit before tax,-76,-63,9,-2,-4,3,4,1,-2,-28
Tax %,2%,3%,52%,41%,-47%,-2%,53%,23%,-6%,-3%
Net Profit,-77,-65,4,-2,-2,3,2,1,-2,-27
  └─ Exceptional items AT,-0,-23,3,0,-0,-7,-2,0,0,-22
  └─ Profit excl Excep,-77,-42,1,-3,-2,10,4,1,-2,-6
  └─ Profit for PE,-77,-42,1,-3,-2,10,4,1,-2,-6
  └─ Profit for EPS,-77,-65,4,-2,-2,3,2,1,-2,-27
  └─ Profit Growth %,,46%,102%,-348%,7%,506%,-59%,-86%,-473%,-172%
EPS in Rs,,-57.44,3.71,-1.87,-2.10,2.36,1.66,0.75,-1.77,-24.31
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
