Metric,Mar 20206m,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2020
Sales,700,1637,2498,2553,1566,2080,2174,
  └─ Sales Growth %,,133.96%,52.66%,2.17%,-38.64%,32.78%,4.53%,
Expenses,595,1353,2119,2211,1586,1936,1998,
  └─ Material Cost %,,55%,58%,59%,65%,61%,61%,59%
    └─ Raw material cost,,968,1613,1537,925,1302,1286,399
    └─ Change in inventory,,-63,-160,-28,98,-38,40,10
  └─ Manufacturing Cost %,,12%,13%,14%,19%,17%,0%,12%
  └─ Employee Cost %,,6%,5%,5%,7%,6%,6%,6%
  └─ Other Cost %,,9%,9%,8%,10%,10%,25%,8%
Operating Profit,105,283,379,342,-19,144,176,
OPM %,15%,17%,15%,13%,-1%,7%,8%,
Other Income,130,30,102,114,37,42,96,
  └─ Exceptional items,,7,8,19,1,-1,-0,80
  └─ Other income normal,,23,93,95,36,44,96,50
Interest,18,11,9,66,46,69,92,
Depreciation,22,51,63,77,92,108,119,
Profit before tax,194,252,409,313,-121,9,62,
Tax %,23%,26%,26%,24%,-12%,212%,54%,
Net Profit,150,186,304,238,-106,-11,29,
  └─ Exceptional items AT,,6,6,14,1,2,0,62
  └─ Profit excl Excep,,181,298,223,-107,-12,29,88
  └─ Profit for PE,,181,298,223,-107,-12,29,88
  └─ Profit for EPS,,186,304,238,-106,-11,29,150
  └─ Profit Growth %,,106%,65%,-25%,-148%,89%,337%,
EPS in Rs,29914.00,37296.00,11.97,9.35,-4.17,-0.42,1.13,
Dividend Payout %,17%,19%,12%,15%,-0%,-0%,-0%,
