Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,263,315,314,394,854,1284,1754
  └─ Sales Growth %,,19.66%,-0.37%,25.50%,116.99%,50.40%,36.57%
Expenses,182,223,353,375,699,1028,1354
  └─ Material Cost %,14.56%,14.21%,20.75%,25.45%,30.02%,25.83%,31.70%
    └─ Raw material cost,42,55,82,149,309,489,706
    └─ Change in inventory,-4,-10,-17,-49,-53,-157,-150
  └─ Manufacturing Cost %,8.58%,9.68%,22.81%,16.73%,9.65%,10.17%,0.00%
  └─ Employee Cost %,16.31%,17.74%,25.16%,24.68%,14.68%,16.43%,14.61%
  └─ Other Cost %,29.90%,29.25%,43.76%,28.44%,27.54%,27.64%,30.87%
Operating Profit,81,92,-39,18,155,256,400
OPM %,31%,29%,-12%,5%,18%,20%,23%
Other Income,18,10,17,25,18,12,8
  └─ Exceptional items,2.58,0.48,0.44,0.03,0.02,0.96,0.00
  └─ Other income normal,15.49,9.65,16.32,25.45,18.48,10.99,7.73
Interest,6,9,10,19,31,37,42
Depreciation,18,29,34,36,39,37,45
Profit before tax,74,63,-66,-11,103,195,321
Tax %,33%,51%,2%,53%,12%,31%,23%
Net Profit,49,31,-67,-17,91,134,247
  └─ Exceptional items AT,2,0,0,0,0,1,0
  └─ Profit excl Excep,48,30,-68,-17,91,134,247
  └─ Profit for PE,48,30,-68,-17,91,134,247
  └─ Profit for EPS,49,31,-67,-17,91,134,247
  └─ Profit Growth %,,-36%,-322%,75%,638%,47%,85%
EPS in Rs,97.46,60.53,-132.39,-33.31,5.98,8.72,14.98
Dividend Payout %,2%,2%,-0%,-2%,0%,0%,0%
