Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales,42.25,35.87,35.03,24.50,26.08,31.12,45.92,55.43,24.25,10.00,10.76,5.38
  └─ Sales Growth %,,-15.10%,-2.34%,-30.06%,6.45%,19.33%,47.56%,20.71%,-56.25%,-58.76%,7.60%,
Expenses,35.34,32.57,36.46,21.88,23.25,30.83,44.40,52.54,35.98,30.90,18.62,14.26
  └─ Material Cost %,74%,78%,90%,73%,66%,0%,2%,76%,87%,100%,95%,
    └─ Raw material cost,34.38,28.60,30.53,16.58,18.72,0.98,2.03,43.68,20.39,6.20,8.81,
    └─ Change in inventory,-2.98,-0.80,0.95,1.37,-1.51,-0.95,-1.11,-1.70,0.71,3.81,1.36,
  └─ Manufacturing Cost %,1%,1%,1%,1%,1%,77%,75%,1%,2%,2%,2%,
  └─ Employee Cost %,4%,6%,6%,7%,7%,7%,5%,5%,12%,27%,33%,
  └─ Other Cost %,4%,7%,8%,8%,15%,15%,14%,14%,46%,180%,43%,
Operating Profit,6.91,3.30,-1.43,2.62,2.83,0.29,1.52,2.89,-11.73,-20.90,-7.86,-8.88
OPM %,16.36%,9.20%,-4.08%,10.69%,10.85%,0.93%,3.31%,5.21%,-48.37%,-209.00%,-73.05%,-165.06%
Other Income,1.78,0.97,0.58,0.12,0.18,0.25,0.19,0.44,2.15,3.16,0.55,0.64
  └─ Exceptional items,0.00,0.00,0.00,-0.02,-0.01,0.00,0.00,0.01,0.03,0.00,0.00,
  └─ Other income normal,1.78,0.97,0.58,0.14,0.19,0.25,0.19,0.43,2.12,3.16,0.55,
Interest,0.85,1.04,1.24,1.43,1.67,1.36,1.55,2.45,1.66,1.66,0.67,0.66
Depreciation,0.79,0.82,0.95,1.17,0.96,1.16,1.24,1.06,0.90,0.80,0.57,0.44
Profit before tax,7.05,2.41,-3.04,0.14,0.38,-1.98,-1.08,-0.18,-12.14,-20.20,-8.55,-9.34
Tax %,11.63%,11.20%,5.92%,-778.57%,165.79%,2.02%,1.85%,227.78%,-25.04%,-28.37%,-21.40%,
Net Profit,6.23,2.14,-3.22,1.22,-0.25,-2.02,-1.10,-0.59,-9.10,-14.48,-6.71,-7.23
  └─ Exceptional items AT,0,0,0,-0,0,0,0,0,0,0,0,
  └─ Profit excl Excep,6,2,-3,1,-0,-2,-1,-1,-9,-14,-7,
  └─ Profit for PE,6,2,-3,1,-0,-2,-1,-1,-9,-14,-7,
  └─ Profit for EPS,6,2,-3,1,-0,-2,-1,-1,-9,-14,-7,
  └─ Profit Growth %,,-66%,-250%,138%,-120%,-708%,46%,45%,-1422%,-59%,54%,
EPS in Rs,2.92,0.99,-1.49,0.57,-0.12,-0.94,-0.51,-0.27,-4.10,-6.06,-2.81,-3.02
Dividend Payout %,8.60%,10.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
