Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2025,Mar 2026
Sales,245,279,288,411,733,822
  └─ Sales Growth %,,13.72%,3.26%,42.71%,,12.21%
Expenses,176,209,217,327,565,648
  └─ Material Cost %,44.96%,53.05%,48.63%,53.93%,54.27%,47.83%
    └─ Raw material cost,143,140,163,233,410,375
    └─ Change in inventory,-33,8,-23,-11,-12,18
  └─ Manufacturing Cost %,13.24%,11.00%,14.01%,11.86%,11.56%,0.00%
  └─ Employee Cost %,6.62%,6.44%,7.17%,5.18%,5.74%,6.24%
  └─ Other Cost %,6.75%,4.30%,5.61%,8.62%,5.56%,24.75%
Operating Profit,70,70,71,84,168,174
OPM %,28%,25%,25%,20%,23%,21%
Other Income,4,3,4,1,5,2
  └─ Exceptional items,0.75,0.29,0.02,-0.12,3.39,-1.45
  └─ Other income normal,3.32,2.84,3.75,1.24,1.74,3.13
Interest,2,2,2,3,6,9
Depreciation,9,11,12,13,24,28
Profit before tax,63,61,61,70,143,139
Tax %,32%,13%,-2%,27%,17%,21%
Net Profit,43,54,62,51,118,110
  └─ Exceptional items AT,1,0,0,-0,3,-1
  └─ Profit excl Excep,42,53,62,52,116,112
  └─ Profit for PE,42,53,62,52,116,112
  └─ Profit for EPS,43,54,62,51,118,110
  └─ Profit Growth %,,26%,16%,-17%,,-4%
EPS in Rs,21.06,27.17,31.34,25.97,59.07,55.11
Dividend Payout %,17%,13%,13%,29%,29%,22%
