Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM
Sales,52.95,43.81,54.59,86.97,117.23,93.37
  └─ Sales Growth %,,-17.26%,24.61%,59.31%,34.79%,
Expenses,49.98,41.82,52.73,84.48,114.52,91.94
  └─ Material Cost %,84%,84%,87%,86%,86%,
    └─ Raw material cost,44,37,47,75,103,
    └─ Change in inventory,0,-0,0,-0,-2,
  └─ Manufacturing Cost %,4%,4%,3%,3%,3%,
  └─ Employee Cost %,3%,3%,3%,2%,2%,
  └─ Other Cost %,4%,4%,4%,6%,7%,
Operating Profit,2.97,1.99,1.86,2.49,2.71,1.43
OPM %,5.61%,4.54%,3.41%,2.86%,2.31%,1.53%
Other Income,0.17,0.79,0.67,0.19,0.27,1.56
  └─ Exceptional items,-0.11,0.00,-0.09,0.00,-0.02,
  └─ Other income normal,0.28,0.79,0.76,0.19,0.29,
Interest,1.59,1.50,1.62,1.21,1.29,1.68
Depreciation,0.86,0.64,0.50,0.47,0.45,0.43
Profit before tax,0.69,0.64,0.41,1.00,1.24,0.88
Tax %,33.33%,32.81%,53.66%,3.00%,32.26%,
Net Profit,0.47,0.44,0.19,0.97,0.83,0.77
  └─ Profit from Associates,0.01,0.00,0.00,0.00,0.00,
  └─ Exceptional items AT,-0.08,0.00,-0.03,0.00,-0.02,
  └─ Profit excl Excep,0.55,0.44,0.22,0.97,0.85,
  └─ Profit for PE,0.55,0.44,0.22,0.97,0.85,
  └─ Profit for EPS,0.47,0.44,0.19,0.97,0.83,
  └─ Profit Growth %,,-20.00%,-50.00%,340.91%,-12.37%,
EPS in Rs,0.66,0.62,0.27,1.36,1.16,1.08
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,
