Metric,Mar 201515m,Mar 2024,Mar 2025,Mar 2026,Mar 2015
Sales,2009,2222,2982,3438,
  └─ Sales Growth %,,,34.21%,15.28%,
Expenses,1924,1958,2631,3095,
  └─ Material Cost %,,74%,74%,73%,82%
    └─ Raw material cost,,1650,2437,2490,1637
    └─ Change in inventory,,-4,-241,15,4
  └─ Manufacturing Cost %,,7%,7%,0%,5%
  └─ Employee Cost %,,3%,3%,4%,3%
  └─ Other Cost %,,4%,5%,13%,6%
Operating Profit,86,264,352,343,
OPM %,4%,12%,12%,10%,
Other Income,6,9,12,14,
  └─ Exceptional items,,1.32,3.15,-2.78,0.20
  └─ Other income normal,,7.94,8.74,16.37,5.37
Interest,24,4,6,19,
Depreciation,32,37,53,114,
Profit before tax,36,233,304,223,
Tax %,47%,26%,23%,18%,
Net Profit,19,173,235,183,
  └─ Exceptional items AT,,1,2,-2,0
  └─ Profit excl Excep,,172,233,185,19
  └─ Profit for PE,,172,233,185,19
  └─ Profit for EPS,,173,235,183,19
  └─ Profit Growth %,,,35%,-21%,
EPS in Rs,10.76,98.47,133.72,103.98,
Dividend Payout %,37%,100%,23%,52%,
