Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,44,58,36,61,62,106,83,129,113,126
  └─ Sales Growth %,,32.59%,-38.78%,70.34%,1.28%,72.41%,-21.88%,55.26%,-12.59%,11.50%
Expenses,39,55,35,47,52,90,67,100,83,95
  └─ Material Cost %,0.00%,0.00%,0.00%,0.00%,0.19%,-0.26%,-0.78%,-4.69%,1.14%,26.37%
    └─ Raw material cost,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.19
    └─ Change in inventory,0.00,0.00,0.00,0.00,0.12,-0.28,-0.65,-6.05,1.29,-2.05
  └─ Manufacturing Cost %,33.66%,58.14%,40.74%,35.86%,31.84%,58.73%,37.93%,49.64%,28.60%,0.00%
  └─ Employee Cost %,32.68%,20.66%,34.78%,26.59%,30.00%,17.35%,30.16%,24.03%,34.28%,34.05%
  └─ Other Cost %,21.89%,15.52%,23.00%,14.83%,22.88%,8.89%,13.44%,8.71%,10.01%,14.93%
Operating Profit,5,3,1,14,9,16,16,29,29,31
OPM %,12%,6%,1%,23%,15%,15%,19%,22%,26%,25%
Other Income,3,4,4,3,2,1,2,4,3,2
  └─ Exceptional items,-0.17,-0.44,0.36,0.00,-0.03,-0.02,0.73,0.05,0.00,0.00
  └─ Other income normal,2.97,3.99,3.91,2.90,2.08,1.26,1.25,3.69,2.51,2.01
Interest,0,1,0,8,8,8,10,14,14,11
Depreciation,2,3,2,6,5,5,6,8,9,10
Profit before tax,6,4,2,3,-2,4,2,11,9,13
Tax %,20%,21%,27%,15%,-37%,60%,-63%,40%,16%,25%
Net Profit,3,-0,0,2,-1,1,4,6,7,9
  └─ Profit from Associates,-1.50,-2.97,-1.37,-0.46,0.00,0.00,0.60,-0.78,-1.11,0.00
  └─ Minority share,0.00,0.00,0.00,0.00,-0.54,-0.43,-0.16,-0.30,-0.98,-1.33
  └─ Exceptional items AT,-0.11,-0.33,0.16,0.00,-0.03,-0.01,-0.03,0.03,0.00,0.00
  └─ Profit excl Excep,3.04,0.18,-0.05,1.92,-1.46,1.50,4.42,5.60,6.54,9.42
  └─ Profit for PE,3.04,0.18,-0.05,1.92,-2.00,1.07,4.26,5.30,5.56,8.09
  └─ Profit for EPS,2.93,-0.15,0.11,1.92,-2.03,1.06,4.23,5.33,5.56,8.09
  └─ Profit Growth %,,-94.08%,-127.78%,3940.00%,-204.17%,153.36%,299.11%,24.48%,4.87%,45.50%
EPS in Rs,1.84,-0.09,0.07,1.08,-1.15,0.60,2.39,3.01,4.14,4.64
Dividend Payout %,41%,-807%,1100%,14%,-13%,25%,0%,0%,0%,0%
