Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,65,71,67,84,77,81,82,168,248
  └─ Sales Growth %,,9.87%,-5.89%,25.15%,-8.80%,6.09%,0.91%,104.64%,47.72%
Expenses,55,62,58,72,66,72,73,148,226
  └─ Material Cost %,36%,37%,14%,56%,55%,58%,58%,70%,79%
    └─ Raw material cost,22,32,17,42,40,50,41,118,203
    └─ Change in inventory,1,-6,-7,5,2,-3,7,0,-8
  └─ Manufacturing Cost %,29%,31%,45%,11%,10%,9%,10%,5%,0%
  └─ Employee Cost %,9%,9%,12%,11%,13%,13%,15%,9%,6%
  └─ Other Cost %,10%,10%,15%,7%,8%,8%,6%,4%,6%
Operating Profit,10,9,9,12,10,9,9,19,21
OPM %,15%,13%,13%,14%,13%,11%,11%,11%,9%
Other Income,0,0,1,1,1,1,0,-1,1
  └─ Exceptional items,-0.34,0.03,0.05,0.06,0.01,0.25,0.00,-0.91,-0.36
  └─ Other income normal,0.41,0.30,0.48,0.49,1.06,0.29,0.19,0.29,1.08
Interest,3,3,3,4,4,4,4,6,7
Depreciation,1,1,1,2,2,2,2,4,5
Profit before tax,6,6,5,7,6,5,3,9,10
Tax %,33%,33%,29%,34%,27%,32%,26%,22%,28%
Net Profit,4,4,4,5,4,3,2,7,7
  └─ Minority share,-0.02,0.02,-0.02,-0.03,-0.02,-0.01,0.00,-0.61,-1.03
  └─ Exceptional items AT,-0.22,0.02,0.03,0.04,0.00,0.18,0.00,-0.69,-0.25
  └─ Profit excl Excep,3.99,4.08,3.80,4.62,4.14,2.91,2.27,7.59,7.57
  └─ Profit for PE,3.97,4.10,3.78,4.59,4.12,2.90,2.27,6.92,6.50
  └─ Profit for EPS,3.75,4.12,3.81,4.63,4.12,3.08,2.27,6.29,6.29
  └─ Profit Growth %,,3.30%,-7.80%,21.43%,-10.24%,-29.60%,-21.74%,204.80%,-5.99%
EPS in Rs,4.62,3.71,3.43,4.16,3.71,2.77,2.04,5.66,5.66
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,4%,0%
