Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,799,772,626,591,660,426,418,367
  └─ Sales Growth %,,-3.42%,-18.87%,-5.61%,11.70%,-35.44%,-1.93%,-12.18%
Expenses,740,737,619,540,586,351,348,318
  └─ Material Cost %,62%,64%,49%,63%,58%,49%,46%,51%
    └─ Raw material cost,525,508,275,388,408,222,225,179
    └─ Change in inventory,-29,-16,29,-17,-25,-15,-35,8
  └─ Manufacturing Cost %,6%,7%,30%,8%,8%,4%,4%,0%
  └─ Employee Cost %,9%,9%,10%,10%,11%,13%,14%,13%
  └─ Other Cost %,15%,16%,11%,11%,12%,16%,19%,22%
Operating Profit,59,35,7,51,75,75,70,49
OPM %,7%,5%,1%,9%,11%,18%,17%,13%
Other Income,6,6,16,14,17,-9,-4,9
  └─ Exceptional items,0.23,-0.90,-2.21,-2.08,2.61,-17.47,-14.55,-1.82
  └─ Other income normal,6.11,6.67,18.08,16.28,14.87,8.37,10.39,10.77
Interest,14,33,27,24,31,28,29,26
Depreciation,18,42,39,34,38,28,29,27
Profit before tax,33,-34,-43,8,23,10,8,5
Tax %,36%,-8%,-24%,17%,22%,38%,34%,38%
Net Profit,21,-31,-33,6,17,6,5,3
  └─ Exceptional items AT,0.14,-0.90,-2.21,-1.73,2.02,-0.29,-0.19,-1.03
  └─ Profit excl Excep,21.03,-30.37,-30.73,8.17,15.46,6.57,5.25,4.13
  └─ Profit for PE,21.03,-30.37,-30.73,8.17,15.46,6.57,5.25,4.13
  └─ Profit for EPS,21.17,-31.27,-32.94,6.44,17.48,6.28,5.06,3.10
  └─ Profit Growth %,,-244.41%,-1.19%,126.59%,89.23%,-57.50%,-20.09%,-21.33%
EPS in Rs,11.76,-17.37,-18.30,3.58,9.71,3.47,2.75,1.68
Dividend Payout %,8%,0%,0%,0%,0%,0%,0%,0%
