Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,463,486,733,893,1073,1262,1500
  └─ Sales Growth %,,5.01%,50.80%,21.75%,20.27%,17.52%,18.88%
Expenses,379,419,580,691,831,965,1157
  └─ Material Cost %,17.25%,20.25%,19.40%,17.61%,17.65%,18.24%,19.15%
    └─ Raw material cost,84,98,145,161,192,233,299
    └─ Change in inventory,-4,1,-2,-4,-2,-3,-12
  └─ Manufacturing Cost %,13.23%,13.68%,12.05%,12.48%,11.72%,11.47%,0.00%
  └─ Employee Cost %,20.03%,21.47%,18.25%,17.44%,17.69%,17.00%,17.09%
  └─ Other Cost %,31.26%,30.79%,29.38%,29.92%,30.38%,29.78%,40.87%
Operating Profit,84,67,153,201,242,297,343
OPM %,18%,14%,21%,23%,23%,24%,23%
Other Income,0,4,4,8,22,29,37
  └─ Exceptional items,-1.78,0.00,0.12,-2.04,0.00,6.37,-4.89
  └─ Other income normal,1.89,4.11,3.71,10.26,22.05,22.31,42.37
Interest,26,39,44,42,26,11,33
Depreciation,26,31,36,39,42,57,88
Profit before tax,33,2,77,129,195,258,260
Tax %,10%,248%,34%,43%,10%,25%,25%
Net Profit,30,-2,51,73,177,194,194
  └─ Minority share,0,0,0,0,0,0,-0
  └─ Exceptional items AT,-1,0,0,-1,0,5,-4
  └─ Profit excl Excep,31,-2,51,74,177,189,198
  └─ Profit for PE,31,-2,51,74,177,189,198
  └─ Profit for EPS,30,-2,51,73,177,194,194
  └─ Profit Growth %,,-107%,2320%,45%,138%,7%,5%
EPS in Rs,5.83,-0.45,10.05,12.90,26.94,29.51,29.59
Dividend Payout %,-0%,-0%,-0%,-0%,4%,3%,3%
