Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,197,240,226,304,208,211,300,350,422,281
  └─ Sales Growth %,,21.54%,-5.82%,34.64%,-31.62%,1.37%,42.53%,16.67%,20.37%,
Expenses,169,201,184,238,176,186,246,302,369,248
  └─ Material Cost %,47.93%,44.29%,28.91%,36.88%,37.21%,41.45%,41.71%,39.49%,31.55%,
    └─ Raw material cost,76,108,112,105,93,100,128,154,210,
    └─ Change in inventory,19,-1,-46,8,-15,-12,-3,-16,-77,
  └─ Manufacturing Cost %,29.53%,29.78%,41.72%,30.67%,33.95%,32.79%,28.72%,34.92%,43.50%,
  └─ Employee Cost %,6.39%,6.46%,5.94%,6.04%,6.85%,8.10%,6.05%,6.19%,7.64%,
  └─ Other Cost %,1.68%,3.30%,5.12%,4.54%,6.80%,5.89%,5.46%,5.47%,4.80%,
Operating Profit,29,39,41,66,32,25,54,49,53,33
OPM %,14%,16%,18%,22%,15%,12%,18%,14%,13%,12%
Other Income,3,1,1,-10,3,3,-2,4,7,10
  └─ Exceptional items,1.58,0.00,0.00,-13.26,0.00,0.00,-6.24,0.00,0.00,
  └─ Other income normal,1.30,1.05,1.33,2.87,3.46,2.72,3.89,3.61,6.86,
Interest,8,4,7,13,14,14,20,16,21,18
Depreciation,3,3,4,4,4,4,5,8,9,8
Profit before tax,20,33,32,39,17,10,27,28,30,16
Tax %,36%,37%,30%,27%,27%,29%,54%,29%,33%,
Net Profit,13,20,22,29,13,7,12,20,20,10
  └─ Exceptional items AT,1.02,0.00,0.00,-9.63,0.00,0.00,-4.66,0.00,0.00,
  └─ Profit excl Excep,11.91,20.35,22.43,38.28,12.76,7.12,17.09,19.96,20.04,
  └─ Profit for PE,11.91,20.35,22.43,38.28,12.76,7.12,17.09,19.96,20.04,
  └─ Profit for EPS,12.93,20.35,22.43,28.65,12.76,7.12,12.43,19.96,20.04,
  └─ Profit Growth %,,70.86%,10.22%,70.66%,-66.67%,-44.20%,140.03%,16.79%,0.40%,
EPS in Rs,6.70,8.48,9.35,11.94,5.32,2.97,5.18,8.32,8.35,3.85
Dividend Payout %,22%,24%,21%,0%,0%,0%,0%,0%,0%,
