Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Revenue,96.04,77.18,16.96,185.01,32.53,40.80,39.98,20.01,18.02,15.02,84.90,63.40
  └─ Sales Growth %,,-20%,-78%,991%,-82%,25%,-2%,-50%,-10%,-17%,465%,
Interest,1.91,7.92,6.57,2.69,0.01,0.00,0.01,0.00,0.71,0.77,1.12,0.85
Expenses,92.91,66.52,12.19,174.01,16.59,22.33,23.21,3.72,20.93,1.60,79.37,65.38
  └─ Material Cost %,95%,83%,49%,92%,40%,45%,40%,1%,0%,0%,73%,
    └─ Raw material cost,98,58,9,171,11,22,13,0,0,0,80,
    └─ Change in inventory,-7,6,-1,0,2,-3,3,0,0,0,-17,
  └─ Manufacturing Cost %,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
  └─ Employee Cost %,0%,1%,4%,0%,2%,2%,3%,6%,7%,5%,1%,
  └─ Other Cost %,0%,2%,18%,1%,8%,7%,14%,12%,109%,5%,19%,
Financing Profit,1.22,2.74,-1.80,8.31,15.93,18.47,16.76,16.29,-3.62,12.65,4.41,-2.83
Financing Margin %,1.27%,3.55%,-10.61%,4.49%,48.97%,45.27%,41.92%,81.41%,-20.09%,84.22%,5.19%,-4.46%
Other Income,0.00,0.00,0.48,0.00,-2.69,0.00,0.00,-9.72,0.00,1.20,4.98,1.59
  └─ Exceptional items,0.00,0.00,0.48,0.00,-2.74,0.00,0.00,-10.10,0.00,1.20,4.98,
  └─ Other income normal,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.38,0.00,0.00,0.00,
Depreciation,0.02,0.04,0.21,0.24,0.20,0.15,0.19,0.18,0.14,0.11,0.16,0.19
Profit before tax,1.20,2.70,-1.53,8.07,13.04,18.32,16.57,6.39,-3.76,13.74,9.23,-1.43
Tax %,22.50%,25.19%,7.84%,34.94%,42.94%,36.95%,29.99%,30.99%,48.67%,22.20%,11.27%,
Net Profit,1.18,2.04,-1.65,5.24,7.45,11.56,11.60,4.40,-5.59,10.69,8.19,-0.66
  └─ Profit from Associates,0.24,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Exceptional items AT,0.00,0.00,0.44,0.00,-1.51,0.00,0.00,-2.50,0.00,0.93,2.54,
  └─ Profit excl Excep,1.18,2.04,-2.09,5.24,8.96,11.56,11.60,6.90,-5.59,9.76,5.65,
  └─ Profit for PE,1.18,2.04,-2.09,5.24,8.96,11.56,11.60,6.90,-5.59,9.76,5.65,
  └─ Profit for EPS,1.18,2.04,-1.65,5.24,7.45,11.56,11.60,4.40,-5.59,10.69,8.19,
  └─ Profit Growth %,,72.88%,-202.45%,350.72%,70.99%,29.02%,0.35%,-40.52%,-181.01%,274.60%,-42.11%,
EPS in Rs,0.12,0.11,-0.09,0.28,0.39,0.61,0.61,0.23,-0.29,0.56,0.43,-0.04
Dividend Payout %,57.63%,64.22%,0.00%,0.00%,0.00%,0.00%,8.20%,0.00%,0.00%,0.00%,0.00%,
