Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,180,188,193,195,190,202,185,54,51,94,108,113,123
  └─ Sales Growth %,18.90%,4.87%,2.25%,1.29%,-2.86%,6.71%,-8.74%,-70.56%,-5.83%,83.16%,15.69%,4.19%,
Expenses,140,145,145,151,151,158,150,61,53,73,78,83,83
  └─ Material Cost %,12.41%,13.09%,13.01%,13.01%,12.71%,11.63%,13.03%,13.69%,16.14%,14.48%,14.32%,13.10%,
    └─ Raw material cost,22.31,24.67,25.08,25.39,24.10,23.54,24.07,7.44,8.26,13.58,15.53,14.81,
  └─ Manufacturing Cost %,28.00%,27.92%,26.35%,27.47%,28.33%,27.30%,26.97%,34.90%,35.48%,24.26%,21.82%,20.92%,
  └─ Employee Cost %,20.57%,18.95%,18.41%,19.31%,18.63%,18.95%,21.22%,42.62%,32.56%,21.65%,20.29%,20.76%,
  └─ Other Cost %,17.17%,16.80%,17.46%,17.68%,19.93%,20.29%,19.80%,21.69%,20.10%,17.03%,15.62%,18.86%,
Operating Profit,39,44,48,44,39,44,35,-7,-2,21,30,30,40
OPM %,22%,23%,25%,23%,20%,22%,19%,-13%,-4%,23%,28%,26%,32%
Other Income,17,6,15,6,6,8,6,7,-30,12,36,41,-51
  └─ Exceptional items,9.94,0.16,12.55,-1.78,-0.03,-2.14,-4.98,-3.03,-30.54,10.29,8.35,0.12,
  └─ Other income normal,6.73,5.88,2.75,8.23,5.74,10.59,10.64,10.44,0.28,1.98,28.04,40.90,
Interest,49,52,38,19,16,14,14,14,0,0,21,40,29
Depreciation,25,32,31,31,30,28,26,19,3,4,4,4,4
Profit before tax,-18,-33,-6,0,-2,10,1,-33,-36,30,43,27,-45
Tax %,33%,18%,17%,914%,242%,65%,1089%,-1%,-4%,18%,25%,36%,
Net Profit,-24,-39,-7,-4,-6,4,-8,-33,-34,25,32,18,-56
  └─ Minority share,16.26,17.29,13.56,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Exceptional items AT,9.94,0.16,10.81,19.97,0.11,-0.49,26.10,-3.02,-0.07,7.93,6.22,0.08,
  └─ Profit excl Excep,-33.68,-39.34,-17.93,-23.48,-5.85,4.02,-33.61,-29.95,-34.43,16.60,25.49,17.44,
  └─ Profit for PE,-10.61,-21.98,-4.37,-23.41,-5.84,4.03,-33.61,-29.95,-34.43,16.60,25.49,17.44,
  └─ Profit for EPS,-7.48,-21.89,6.44,-3.50,-5.73,3.54,-7.51,-32.97,-34.50,24.53,31.71,17.52,
  └─ Profit Growth %,-257.21%,-107.12%,80.12%,-435.77%,75.06%,169.01%,-934.00%,10.89%,-14.96%,148.21%,53.55%,-31.58%,
EPS in Rs,-4.35,-12.73,3.74,-2.02,-3.31,2.05,-4.34,-19.06,-19.94,14.19,18.34,10.13,-32.44
Dividend Payout %,-46%,-10%,36%,-66%,-50%,81%,0%,0%,0%,18%,14%,10%,
