Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,750,870,956,1137,1794,1624
  └─ Sales Growth %,,16%,10%,19%,58%,
Expenses,700,802,888,1038,1586,1458
  └─ Material Cost %,79%,75%,77%,75%,76%,
    └─ Raw material cost,661,579,782,986,957,
    └─ Change in inventory,-71,71,-43,-137,403,
  └─ Manufacturing Cost %,0%,7%,6%,7%,5%,
  └─ Employee Cost %,8%,8%,7%,7%,6%,
  └─ Other Cost %,6%,3%,2%,2%,2%,
Operating Profit,50,68,68,99,208,166
OPM %,7%,8%,7%,9%,12%,10%
Other Income,9,3,6,2,6,10
  └─ Other income normal,9.24,2.81,5.87,2.24,6.42,
Interest,38,43,43,44,48,40
Depreciation,15,14,12,11,18,25
Profit before tax,5,14,19,46,148,112
Tax %,21%,1%,8%,7%,31%,
Net Profit,4,14,17,43,103,68
  └─ Profit excl Excep,4,14,17,43,103,
  └─ Profit for PE,4,14,17,43,103,
  └─ Profit for EPS,4,14,17,43,103,
  └─ Profit Growth %,,217%,24%,154%,138%,
EPS in Rs,0.39,1.22,1.52,3.85,9.16,6.09
Dividend Payout %,0%,8%,13%,6%,5%,
