Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,378,261,266,350,316,306,345,334
  └─ Sales Growth %,,-30.98%,1.84%,31.81%,-9.86%,-3.04%,12.67%,-3.17%
Expenses,343,235,235,316,287,275,300,289
  └─ Material Cost %,67.72%,60.54%,51.60%,55.61%,54.32%,49.41%,44.69%,41.50%
    └─ Raw material cost,269,147,135,204,171,150,150,147
    └─ Change in inventory,-13,11,2,-10,0,1,4,-8
  └─ Manufacturing Cost %,13.40%,15.49%,18.94%,18.61%,17.99%,18.88%,19.06%,0.00%
  └─ Employee Cost %,6.89%,11.11%,12.46%,12.21%,14.71%,17.08%,17.27%,19.59%
  └─ Other Cost %,2.76%,3.11%,5.62%,3.70%,3.84%,4.43%,5.88%,25.53%
Operating Profit,35,25,30,35,29,31,45,45
OPM %,9%,10%,11%,10%,9%,10%,13%,13%
Other Income,2,2,2,14,5,4,5,2
  └─ Exceptional items,-0.09,0.04,0.01,12.78,2.35,0.00,0.03,0.00
  └─ Other income normal,2.51,2.20,1.77,1.65,3.07,3.83,4.80,2.43
Interest,6,5,5,6,7,10,9,6
Depreciation,6,8,8,10,11,15,15,15
Profit before tax,25,15,20,33,17,10,26,25
Tax %,30%,31%,31%,23%,31%,36%,28%,29%
Net Profit,18,10,14,25,11,6,19,18
  └─ Minority share,0.00,0.00,0.00,0.02,0.09,2.77,1.38,-0.49
  └─ Exceptional items AT,-0.06,0.03,0.01,9.46,1.56,0.00,0.02,0.00
  └─ Profit excl Excep,17.91,10.15,13.55,15.84,9.81,6.32,18.71,17.80
  └─ Profit for PE,17.91,10.15,13.55,15.86,9.90,9.09,20.09,17.31
  └─ Profit for EPS,17.85,10.18,13.56,25.32,11.46,9.09,20.11,17.31
  └─ Profit Growth %,,-43.33%,33.50%,17.05%,-37.58%,-8.18%,121.01%,-13.84%
EPS in Rs,59.04,33.67,44.85,83.75,37.91,30.07,66.52,57.26
Dividend Payout %,3%,0%,3%,2%,4%,5%,2%,3%
