Metric,Mar 2009,Mar 2010,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,20,28,28,46,79,114,116,141,146,104,39,7
  └─ Sales Growth %,,40%,2%,,70%,45%,2%,22%,3%,-28%,-62%,
Expenses,24,35,31,43,71,100,97,135,133,100,68,33
  └─ Manufacturing Cost %,9%,7%,16%,41%,66%,70%,69%,82%,87%,80%,151%,
  └─ Employee Cost %,60%,69%,69%,38%,20%,14%,10%,5%,3%,2%,3%,
  └─ Other Cost %,51%,50%,26%,13%,5%,4%,4%,9%,2%,14%,17%,
Operating Profit,-4,-7,-3,4,7,14,19,6,13,4,-28,-26
OPM %,-20%,-26%,-11%,8%,9%,12%,16%,4%,9%,4%,-72%,-374%
Other Income,2,1,-1,2,1,0,3,10,9,2,3,0
  └─ Exceptional items,-0.07,-0.43,-2.36,0.00,0.04,0.00,0.46,-0.02,8.53,-0.04,0.00,
  └─ Other income normal,2.05,1.21,0.88,1.51,0.84,0.23,2.19,10.00,0.30,2.10,3.45,
Interest,0,0,0,2,3,2,4,3,2,1,1,1
Depreciation,1,2,2,1,1,6,6,7,5,5,0,-1
Profit before tax,-4,-8,-7,1,4,7,12,7,15,0,-26,-26
Tax %,45%,16%,-12%,-38%,36%,33%,36%,38%,17%,-70%,1%,
Net Profit,-5,-10,-6,2,3,4,8,4,13,1,-27,-27
  └─ Minority share,3,3,1,0,0,0,0,0,0,0,0,
  └─ Exceptional items AT,-0,-0,-2,0,0,0,0,-0,7,0,0,
  └─ Profit excl Excep,-5,-9,-3,2,3,4,8,4,6,1,-27,
  └─ Profit for PE,-2,-6,-3,2,3,4,8,4,6,1,-27,
  └─ Profit for EPS,-2,-7,-5,2,3,4,8,4,13,1,-27,
  └─ Profit Growth %,,-181%,56%,,59%,57%,70%,-45%,36%,-89%,-4392%,
EPS in Rs,-0.72,-2.09,-1.50,0.20,0.31,0.44,0.79,0.41,1.27,0.07,-2.67,-2.66
Dividend Payout %,-28%,-11%,0%,0%,32%,0%,0%,0%,0%,0%,0%,
