Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,748,1388,1370,1999,2726,3781,3674,4020
  └─ Sales Growth %,,85.52%,-1.24%,45.90%,36.36%,38.69%,-2.82%,9.40%
Expenses,619,1172,1161,1610,2365,3227,3192,3578
  └─ Material Cost %,59%,62%,62%,60%,63%,59%,59%,61%
    └─ Raw material cost,465,847,919,1317,1745,2109,2301,2493
    └─ Change in inventory,-21,17,-64,-123,-38,129,-117,-38
  └─ Manufacturing Cost %,13%,13%,13%,11%,11%,11%,12%,0%
  └─ Employee Cost %,7%,7%,8%,6%,7%,10%,10%,9%
  └─ Other Cost %,3%,3%,2%,3%,6%,5%,5%,19%
Operating Profit,129,215,209,390,361,555,482,442
OPM %,17%,16%,15%,19%,13%,15%,13%,11%
Other Income,18,10,12,5,-646,-322,24,-528
  └─ Exceptional items,2,0,0,-0,-661,-332,-1,-556
  └─ Other income normal,16,10,12,5,15,10,25,29
Interest,1,14,7,3,40,65,43,37
Depreciation,9,26,30,34,71,182,200,197
Profit before tax,138,186,185,357,-396,-16,263,-320
Tax %,35%,27%,26%,25%,18%,545%,23%,20%
Net Profit,90,136,137,269,-466,-100,203,-383
  └─ Minority share,0,0,0,0,-0,-0,0,0
  └─ Exceptional items AT,1,0,0,-0,-740,-423,-1,-493
  └─ Profit excl Excep,89,136,137,269,274,323,204,110
  └─ Profit for PE,89,136,137,269,274,322,204,110
  └─ Profit for EPS,90,136,137,269,-466,-100,203,-383
  └─ Profit Growth %,,53%,1%,97%,2%,18%,-37%,-46%
EPS in Rs,7.48,11.31,11.37,16.71,-24.79,-4.86,9.81,-18.54
Dividend Payout %,33%,22%,22%,15%,-10%,-51%,25%,-13%
