Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,187,240,158,216
  └─ Sales Growth %,,28.49%,-34.06%,36.40%
Expenses,174,233,143,199
  └─ Material Cost %,73%,85%,31%,85%
    └─ Raw material cost,144,198,69,158
    └─ Change in inventory,-9,7,-20,25
  └─ Manufacturing Cost %,18%,10%,55%,0%
  └─ Employee Cost %,1%,0%,3%,3%
  └─ Other Cost %,2%,1%,2%,4%
Operating Profit,13,7,16,17
OPM %,7%,3%,10%,8%
Other Income,7,6,9,11
  └─ Exceptional items,0.00,-0.06,0.02,0.00
  └─ Other income normal,6.56,6.08,9.36,10.67
Interest,0,0,2,2
Depreciation,0,0,2,4
Profit before tax,19,13,22,22
Tax %,21%,31%,24%,24%
Net Profit,15,9,16,16
  └─ Minority share,-2.77,-1.41,-1.82,-2.27
  └─ Exceptional items AT,0.00,-0.04,0.02,0.00
  └─ Profit excl Excep,14.99,8.66,16.25,16.49
  └─ Profit for PE,12.22,7.24,14.43,14.22
  └─ Profit for EPS,12.22,7.21,14.45,14.22
  └─ Profit Growth %,,-40.72%,99.25%,-1.47%
EPS in Rs,1.78,1.05,2.11,2.06
Dividend Payout %,-0%,-0%,-0%,-0%
