Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,220,244,276,284,451,465,648,854,866,934,1053
  └─ Sales Growth %,,10.65%,13.19%,2.73%,58.80%,3.23%,39.43%,31.74%,1.42%,7.76%,12.81%
Expenses,154,175,206,207,325,350,500,706,693,738,848
  └─ Material Cost %,1.27%,0.16%,1.05%,1.32%,0.24%,0.25%,0.16%,0.06%,0.01%,0.00%,1.16%
    └─ Raw material cost,2.81,0.39,2.93,3.79,1.09,1.16,1.06,0.51,0.00,0.00,12.21
    └─ Change in inventory,0.00,0.00,-0.03,-0.04,-0.01,0.01,-0.04,0.02,0.11,0.00,0.00
  └─ Manufacturing Cost %,18.66%,19.40%,31.76%,30.89%,25.76%,23.67%,27.36%,36.70%,26.63%,25.02%,0.00%
  └─ Employee Cost %,21.90%,24.82%,23.16%,23.39%,25.54%,33.28%,29.68%,25.92%,31.27%,31.26%,32.87%
  └─ Other Cost %,27.80%,27.20%,18.64%,17.53%,20.59%,18.16%,19.95%,19.97%,22.09%,22.78%,46.47%
Operating Profit,67,69,70,76,126,115,148,148,173,195,205
OPM %,30%,28%,25%,27%,28%,25%,23%,17%,20%,21%,20%
Other Income,2,6,14,15,-4,16,18,20,29,49,31
  └─ Exceptional items,0.00,-0.14,-0.36,-0.03,-18.19,-0.03,-0.06,-1.16,-0.01,23.48,0.00
  └─ Other income normal,2.46,5.76,14.64,14.83,14.07,15.71,18.37,20.96,28.55,25.18,30.90
Interest,24,21,23,25,30,28,20,27,40,56,61
Depreciation,18,17,13,18,24,31,33,39,53,70,86
Profit before tax,27,37,49,48,67,71,113,102,109,118,90
Tax %,16%,16%,18%,27%,30%,9%,20%,17%,8%,15%,-2%
Net Profit,23,31,40,35,47,64,90,85,100,101,92
  └─ Minority share,-6,-3,-10,-7,-20,-19,-23,-16,-14,-15,-16
  └─ Exceptional items AT,0,-0,-0,-0,-13,-0,-0,-1,-0,18,0
  └─ Profit excl Excep,23,32,40,35,60,64,90,85,100,82,92
  └─ Profit for PE,17,28,30,27,35,45,68,69,86,70,75
  └─ Profit for EPS,17,28,29,27,27,45,68,68,86,85,75
  └─ Profit Growth %,,61%,5%,-7%,27%,29%,51%,1%,25%,-19%,8%
EPS in Rs,133.60,213.90,224.92,19.17,10.69,15.92,24.00,24.07,30.37,30.07,26.58
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%
