Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,244,257,182,293,263,349,367,466
  └─ Sales Growth %,,5.09%,-29.08%,60.94%,-10.39%,32.80%,5.10%,27.04%
Expenses,221,237,157,251,228,300,322,426
  └─ Material Cost %,77%,76%,71%,72%,76%,73%,69%,76%
    └─ Raw material cost,184,202,119,211,201,258,271,341
    └─ Change in inventory,4,-6,10,-2,-2,-2,-20,12
  └─ Manufacturing Cost %,6%,8%,7%,5%,2%,4%,9%,0%
  └─ Employee Cost %,6%,6%,6%,5%,6%,6%,7%,6%
  └─ Other Cost %,2%,2%,2%,4%,3%,3%,3%,10%
Operating Profit,23,20,25,42,34,49,45,40
OPM %,9%,8%,14%,14%,13%,14%,12%,9%
Other Income,0,0,1,3,5,4,16,17
  └─ Exceptional items,0.00,0.00,0.00,1.43,2.25,0.39,1.63,0.00
  └─ Other income normal,0.34,0.25,1.08,1.18,2.45,3.12,14.64,17.34
Interest,7,6,6,6,5,5,7,7
Depreciation,10,9,7,10,12,17,16,18
Profit before tax,7,5,14,29,21,30,37,33
Tax %,32%,34%,28%,27%,27%,28%,26%,24%
Net Profit,5,4,10,22,15,22,27,25
  └─ Minority share,-0.66,-0.19,-1.94,-0.54,-0.58,-3.29,-5.24,0.00
  └─ Exceptional items AT,0.00,0.00,0.00,1.06,1.65,0.29,1.19,0.00
  └─ Profit excl Excep,4.54,3.50,10.23,20.58,13.83,21.69,26.28,24.76
  └─ Profit for PE,3.88,3.31,8.29,20.07,13.31,18.44,21.27,24.76
  └─ Profit for EPS,3.88,3.31,8.29,21.10,14.90,18.69,22.23,24.76
  └─ Profit Growth %,,-14.69%,150.45%,142.06%,-33.66%,38.55%,15.31%,16.42%
EPS in Rs,0.18,0.16,0.39,1.00,0.71,0.69,0.82,0.92
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
