Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales,237,334,278,212
  └─ Sales Growth %,,40.66%,-16.62%,-23.80%
Expenses,229,321,260,197
  └─ Material Cost %,79%,79%,77%,72%
    └─ Raw material cost,188,261,214,153
    └─ Change in inventory,-1,2,-1,1
  └─ Manufacturing Cost %,12%,11%,9%,9%
  └─ Employee Cost %,2%,2%,3%,5%
  └─ Other Cost %,4%,4%,5%,7%
Operating Profit,8,12,19,15
OPM %,3%,4%,7%,7%
Other Income,3,3,3,3
  └─ Exceptional items,1.07,0.08,0.26,0.11
  └─ Other income normal,2.18,2.63,2.93,3.02
Interest,1,1,2,1
Depreciation,2,2,3,3
Profit before tax,7,12,17,15
Tax %,30%,34%,30%,35%
Net Profit,5,8,12,10
  └─ Exceptional items AT,0.54,0.05,0.19,0.07
  └─ Profit excl Excep,4.67,7.85,11.75,9.47
  └─ Profit for PE,4.67,7.85,11.75,9.47
  └─ Profit for EPS,5.21,7.90,11.94,9.54
  └─ Profit Growth %,,68.09%,49.68%,-19.40%
EPS in Rs,0.89,1.34,2.03,1.62
Dividend Payout %,85%,75%,50%,62%
