Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1.22,1.67,1.61,0.60,0.00,0.44,1.90,1.58,1.57,0.57
  └─ Sales Growth %,,37%,-4%,-63%,-100%,,332%,-17%,-1%,-64%
Expenses,1.29,1.35,1.18,8.71,0.32,0.80,2.12,1.76,1.88,0.90
  └─ Material Cost %,0%,7%,0%,0%,,52%,56%,68%,69%,86%
    └─ Raw material cost,0.00,0.00,0.00,0.00,0.00,0.23,1.07,1.08,1.08,0.49
    └─ Change in inventory,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Manufacturing Cost %,45%,32%,30%,33%,,0%,35%,24%,26%,0%
  └─ Employee Cost %,48%,31%,33%,52%,,73%,8%,10%,10%,32%
  └─ Other Cost %,13%,11%,10%,1367%,,57%,12%,9%,15%,40%
Operating Profit,-0.07,0.32,0.43,-8.11,-0.32,-0.36,-0.22,-0.18,-0.31,-0.33
OPM %,-5.74%,19.16%,26.71%,-1351.67%,,-81.82%,-11.58%,-11.39%,-19.75%,-57.89%
Other Income,0.61,0.64,0.44,0.30,1.25,0.90,0.55,1.10,0.53,0.40
  └─ Exceptional items,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.59,0.64,0.43,0.30,1.25,0.90,0.55,1.10,0.53,0.40
Interest,0.05,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00
Depreciation,0.22,0.12,0.06,0.03,0.02,0.01,0.01,0.01,0.03,0.03
Profit before tax,0.27,0.83,0.81,-7.84,0.91,0.53,0.31,0.90,0.18,0.04
Tax %,14.81%,14.46%,27.16%,-25.64%,23.08%,-1.89%,3.23%,21.11%,-27.78%,550.00%
Net Profit,0.22,0.71,0.59,-5.82,0.71,0.55,0.30,0.72,0.23,-0.18
  └─ Profit from Associates,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,0,1,1,-6,1,1,0,1,0,-0
  └─ Profit for PE,0,1,1,-6,1,1,0,1,0,-0
  └─ Profit for EPS,0,1,1,-6,1,1,0,1,0,-0
  └─ Profit Growth %,,255%,-18%,-1103%,112%,-23%,-45%,140%,-68%,-178%
EPS in Rs,0.71,2.28,1.90,-18.72,2.28,1.77,0.97,2.32,0.74,-0.58
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
