Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,989,1213,1091,1301,1234,1044,1171,1242
  └─ Sales Growth %,,22.59%,-10.02%,19.20%,-5.13%,-15.39%,12.12%,6.08%
Expenses,802,983,852,1050,1043,926,996,1043
  └─ Material Cost %,69%,69%,63%,65%,68%,69%,66%,65%
    └─ Raw material cost,755,799,691,928,855,678,825,799
    └─ Change in inventory,-71,40,-8,-85,-15,43,-48,7
  └─ Manufacturing Cost %,4%,5%,6%,7%,7%,8%,8%,0%
  └─ Employee Cost %,6%,6%,7%,7%,7%,8%,7%,7%
  └─ Other Cost %,2%,2%,2%,2%,3%,4%,3%,12%
Operating Profit,188,230,240,250,191,118,175,199
OPM %,19%,19%,22%,19%,15%,11%,15%,16%
Other Income,1,14,6,16,15,35,42,25
  └─ Exceptional items,-1.77,-3.21,-1.26,-0.09,-4.34,5.62,12.56,-18.82
  └─ Other income normal,2.51,16.82,7.13,15.64,19.34,29.18,29.28,44.02
Interest,16,16,4,7,6,3,5,5
Depreciation,17,22,26,25,26,26,27,26
Profit before tax,155,205,215,234,174,123,185,193
Tax %,28%,23%,24%,25%,28%,23%,24%,25%
Net Profit,112,158,164,176,125,96,141,146
  └─ Exceptional items AT,-1,-2,-1,-0,-3,4,10,-14
  └─ Profit excl Excep,113,160,165,176,128,91,131,160
  └─ Profit for PE,113,160,165,176,128,91,131,160
  └─ Profit for EPS,112,158,164,176,125,96,141,146
  └─ Profit Growth %,,42%,3%,7%,-27%,-29%,44%,22%
EPS in Rs,65.60,92.73,96.39,106.01,75.07,57.54,84.89,87.67
Dividend Payout %,1%,0%,0%,0%,0%,1%,0%,1%
