Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,5143,7557,7225,7005,6448,3623,3546,4082,5878,4697,3926,5335,3115
  └─ Sales Growth %,130.43%,46.96%,-4.40%,-3.04%,-7.96%,-43.81%,-2.15%,15.14%,43.98%,-20.09%,-16.42%,35.90%,
Expenses,4720,6896,6244,6316,5821,3172,2874,2975,4443,4335,3925,5064,3110
  └─ Material Cost %,64%,61%,54%,54%,57%,71%,62%,56%,61%,71%,73%,71%,
    └─ Raw material cost,3294,4516,3966,3861,3737,2632,2255,2321,3675,3295,2910,3837,
    └─ Change in inventory,-10,70,-30,-72,-62,-65,-53,-41,-75,21,-56,-49,
  └─ Manufacturing Cost %,11%,11%,12%,12%,12%,11%,13%,11%,10%,13%,16%,14%,
  └─ Employee Cost %,9%,12%,12%,14%,12%,3%,3%,3%,2%,3%,6%,6%,
  └─ Other Cost %,8%,7%,8%,10%,9%,3%,3%,3%,2%,6%,5%,4%,
Operating Profit,422,662,980,689,627,451,671,1108,1435,362,0,271,5
OPM %,8%,9%,14%,10%,10%,12%,19%,27%,24%,8%,0%,5%,0%
Other Income,-1,-113,7,91,47,-538,73,139,386,420,478,457,147
  └─ Exceptional items,-29,-127,13,26,-26,-603,30,-0,87,-223,-0,50,
  └─ Other income normal,27,14,-6,66,74,65,43,139,300,643,478,407,
Interest,126,91,106,111,121,50,99,61,32,152,173,363,267
Depreciation,188,229,245,285,255,104,118,145,153,174,214,223,197
Profit before tax,107,228,636,385,298,-241,527,1040,1636,455,91,142,-313
Tax %,38%,20%,28%,30%,49%,70%,7%,24%,27%,30%,21%,23%,
Net Profit,67,182,456,269,152,-409,489,791,1196,319,72,110,-253
  └─ Profit from Associates,-0,-0,0,0,0,0,0,0,0,0,0,0,
  └─ Minority share,11,-9,-118,-82,-67,0,0,0,0,0,0,0,
  └─ Exceptional items AT,-6,-58,9,17,-13,-183,23,-0,63,-12,-0,23,
  └─ Profit excl Excep,73,239,447,253,166,-226,466,791,1133,331,72,87,
  └─ Profit for PE,85,227,331,176,93,-226,466,791,1133,331,72,87,
  └─ Profit for EPS,78,172,338,187,85,-409,489,791,1196,319,72,110,
  └─ Profit Growth %,683%,169%,46%,-47%,-47%,-344%,306%,70%,43%,-71%,-78%,22%,
EPS in Rs,18.60,41.01,80.45,42.79,19.45,-93.30,111.56,180.57,273.11,72.83,16.32,25.07,-57.38
Dividend Payout %,5%,3%,1%,2%,5%,-1%,1%,1%,2%,6%,34%,24%,
