Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,0,157,169,208,166,224,269,360,408,423,483
  └─ Sales Growth %,,38187.80%,7.74%,23.09%,-20.36%,35.12%,20.23%,33.48%,13.41%,3.63%,14.29%
Expenses,0,139,144,178,145,200,239,318,355,365,412
  └─ Material Cost %,0%,52%,60%,59%,59%,60%,61%,65%,45%,42%,52%
    └─ Raw material cost,0,83,107,127,99,136,179,238,185,194,266
    └─ Change in inventory,0,-2,-5,-3,-1,-1,-15,-4,-0,-16,-15
  └─ Manufacturing Cost %,0%,20%,16%,16%,16%,19%,18%,14%,13%,15%,0%
  └─ Employee Cost %,17%,6%,6%,6%,8%,6%,7%,6%,8%,8%,9%
  └─ Other Cost %,105%,10%,3%,4%,4%,4%,4%,3%,21%,22%,25%
Operating Profit,-0,18,25,30,21,24,30,42,52,57,71
OPM %,-22%,11%,15%,14%,13%,11%,11%,12%,13%,14%,15%
Other Income,0,0,1,2,2,1,8,1,2,9,2
  └─ Exceptional items,0.00,0.01,0.00,0.08,0.00,0.32,6.56,0.01,0.00,7.39,0.00
  └─ Other income normal,0.18,0.42,0.61,1.57,1.50,1.17,1.25,1.19,1.62,2.04,2.02
Interest,0,7,6,8,7,8,9,9,15,16,22
Depreciation,0,5,6,6,8,8,11,12,17,20,20
Profit before tax,0,7,14,18,8,9,18,22,23,31,31
Tax %,33%,35%,21%,20%,27%,31%,20%,27%,25%,22%,25%
Net Profit,0,4,11,14,6,6,14,16,17,24,23
  └─ Minority share,0,0,0,0,0,0,0,-1,-4,-7,-2
  └─ Exceptional items AT,0,0,0,0,0,0,5,0,0,6,0
  └─ Profit excl Excep,0,4,11,14,6,6,9,16,17,18,23
  └─ Profit for PE,0,4,11,14,6,6,9,15,13,13,21
  └─ Profit for EPS,0,4,11,14,6,6,14,15,13,17,21
  └─ Profit Growth %,,6950%,161%,27%,-60%,1%,62%,62%,-15%,2%,64%
EPS in Rs,0.03,0.63,1.26,1.59,0.63,0.66,1.63,1.67,0.78,1.02,1.26
Dividend Payout %,0%,0%,3%,6%,0%,0%,0%,0%,0%,0%,0%
