Metric,Jun 2006,Jun 2007,Jun 2008,Jun 2009,Jun 2010,Mar 2026
Sales,1432,1493,1483,1395,1613,5406
  └─ Sales Growth %,,4.26%,-0.67%,-5.96%,15.61%,
Expenses,1386,1422,1438,1327,1489,4885
  └─ Material Cost %,90%,89%,90%,88%,86%,83%
    └─ Raw material cost,1270,1342,1314,1215,1405,4468
    └─ Change in inventory,13,-16,20,11,-25,4
  └─ Manufacturing Cost %,2%,2%,2%,2%,2%,0%
  └─ Employee Cost %,1%,1%,1%,1%,1%,1%
  └─ Other Cost %,5%,4%,4%,4%,4%,6%
Operating Profit,46,72,46,68,123,521
OPM %,3%,5%,3%,5%,8%,10%
Other Income,20,15,18,6,4,33
  └─ Exceptional items,6.85,-0.12,5.84,-0.04,0.07,-10.04
  └─ Other income normal,13.53,15.14,11.91,6.49,4.29,43.51
Interest,22,24,19,21,18,15
Depreciation,17,17,17,18,20,92
Profit before tax,28,46,27,35,90,448
Tax %,40%,30%,17%,45%,33%,26%
Net Profit,17,32,23,19,60,330
  └─ Minority share,0,1,0,0,0,-1
  └─ Exceptional items AT,4,-0,4,-0,0,-7
  └─ Profit excl Excep,13,32,18,19,60,337
  └─ Profit for PE,13,33,18,19,60,337
  └─ Profit for EPS,17,33,23,19,60,329
  └─ Profit Growth %,,154%,-44%,6%,214%,
EPS in Rs,0.86,1.67,1.16,0.99,3.12,17.51
Dividend Payout %,58%,30%,43%,50%,29%,46%
