Metric,Jul 2007,Jul 2008,Jul 2009,Jul 2010,Mar 20118m,Mar 2012,Mar 2013,Mar 2024,Mar 2025,Mar 2026,Mar 2011
Sales,33.18,31.81,0.51,0.22,0.00,0.00,0.00,0.00,4.68,0.64,
  └─ Sales Growth %,,-4%,-98%,-57%,,,,,,-86%,-100%
Expenses,25.35,27.76,0.25,2.26,0.36,0.22,0.07,0.31,3.81,0.71,
  └─ Material Cost %,-1%,9%,0%,0%,,,,,66%,0%,
    └─ Raw material cost,0.00,0.00,0.00,0.00,,0.00,0.00,0.18,0.00,0.00,0.00
    └─ Change in inventory,-0.25,2.89,0.00,0.00,,0.00,0.00,-0.18,3.07,0.00,0.00
  └─ Manufacturing Cost %,75%,76%,10%,9%,,,,,0%,0%,
  └─ Employee Cost %,1%,1%,16%,50%,,,,,3%,41%,
  └─ Other Cost %,1%,2%,24%,968%,,,,,13%,70%,
Operating Profit,7.83,4.05,0.26,-2.04,-0.36,-0.22,-0.07,-0.31,0.87,-0.07,
OPM %,23.60%,12.73%,50.98%,-927.27%,,,,,18.59%,-10.94%,
Other Income,2.59,-8.94,-5.07,-0.23,0.02,0.21,0.22,0.46,0.02,0.30,
  └─ Exceptional items,0.00,-10.33,-5.10,-0.25,,0.00,0.00,0.00,0.01,0.00,0.00
  └─ Other income normal,2.59,1.39,0.03,0.02,,0.21,0.22,0.46,0.01,0.30,0.02
Interest,0.34,0.20,0.16,0.19,0.00,0.01,0.08,0.06,0.14,0.21,
Depreciation,1.04,1.48,0.09,0.13,0.04,0.05,0.05,0.04,0.08,0.11,
Profit before tax,9.04,-6.57,-5.06,-2.59,-0.38,-0.07,0.02,0.05,0.67,-0.09,
Tax %,6.75%,2.74%,0.00%,-3.09%,-71.05%,0.00%,0.00%,40.00%,29.85%,0.00%,
Net Profit,8.43,-6.14,-4.43,-1.87,-0.11,-0.07,0.02,0.03,0.46,-0.09,
  └─ Profit from Associates,0,1,1,1,,0,0,0,0,0,0
  └─ Exceptional items AT,0,-10,-5,-0,,0,0,0,0,0,0
  └─ Profit excl Excep,8,4,1,-2,,-0,0,0,0,-0,-0
  └─ Profit for PE,8,4,1,-2,,-0,0,0,0,-0,-0
  └─ Profit for EPS,8,-6,-4,-2,,-0,0,0,0,-0,-0
  └─ Profit Growth %,,-52%,-83%,-342%,,36%,129%,,1400%,-120%,-116%
EPS in Rs,6.02,-4.39,-3.16,-1.34,-0.08,-0.05,0.01,0.02,0.09,-0.02,
Dividend Payout %,6.23%,-34.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
