Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM
Revenue,3,4,215,240,148,81,114,104,108
  └─ Sales Growth %,,34.30%,5668.55%,11.96%,-38.27%,-45.06%,40.39%,-8.72%,
Interest,0,1,12,19,13,7,8,9,9
Expenses,1,2,200,213,126,60,91,79,84
  └─ Material Cost %,28%,26%,87%,82%,70%,53%,65%,60%,
    └─ Raw material cost,2,2,214,205,91,58,66,62,
    └─ Change in inventory,-1,-1,-26,-9,13,-15,8,1,
  └─ Manufacturing Cost %,0%,1%,2%,1%,1%,1%,1%,1%,
  └─ Employee Cost %,6%,10%,1%,3%,6%,9%,7%,8%,
  └─ Other Cost %,11%,28%,3%,2%,8%,11%,6%,7%,
Financing Profit,1,-0,2,9,10,14,16,16,15
Financing Margin %,43%,-3%,1%,4%,6%,18%,14%,15%,14%
Other Income,0,1,3,1,1,2,2,1,5
  └─ Exceptional items,0.02,0.58,0.07,0.83,2.68,0.26,0.00,0.12,
  └─ Other income normal,0.05,0.79,3.37,0.12,-1.84,1.90,1.90,0.80,
Depreciation,0,0,2,6,7,9,6,7,8
Profit before tax,1,1,4,4,3,7,12,10,11
Tax %,22%,20%,25%,33%,43%,37%,22%,28%,
Net Profit,1,1,3,3,2,5,9,8,8
  └─ Minority share,0.00,0.00,-0.14,-0.73,-0.50,-0.63,-1.01,-0.38,
  └─ Exceptional items AT,0.02,0.46,0.05,0.54,1.15,0.16,0.00,0.09,
  └─ Profit excl Excep,0.97,0.47,2.98,2.15,0.76,4.49,9.41,7.46,
  └─ Profit for PE,0.97,0.47,2.84,1.57,0.56,3.88,8.40,7.08,
  └─ Profit for EPS,0.99,0.93,2.89,1.96,1.41,4.02,8.40,7.17,
  └─ Profit Growth %,,-51.55%,504.75%,-44.88%,-64.19%,591.86%,116.40%,-15.66%,
EPS in Rs,,,4.82,3.27,0.88,2.51,4.35,3.71,3.62
Dividend Payout %,18%,15%,10%,4%,0%,10%,11%,13%,
