Metric,TTM
Sales,0.38
Expenses,0.28
Operating Profit,0.10
OPM %,26.32%
Other Income,0.07
Interest,0.00
Depreciation,0.02
Profit before tax,0.15
Tax %,
Net Profit,0.12
EPS in Rs,0.00
Dividend Payout %,
