Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales,9.02,7.23,5.14,5.08,4.31,4.75,11.25,10.41
  └─ Sales Growth %,,-20%,-29%,-1%,-15%,10%,137%,
Expenses,8.64,7.35,5.28,5.40,6.25,4.78,10.98,10.46
  └─ Material Cost %,88%,92%,89%,90%,92%,91%,89%,
    └─ Raw material cost,7.56,6.40,4.29,4.77,3.71,4.34,10.03,
    └─ Change in inventory,0.35,0.26,0.29,-0.22,0.26,-0.01,-0.06,
  └─ Manufacturing Cost %,0%,0%,0%,0%,0%,0%,0%,
  └─ Employee Cost %,4%,4%,7%,5%,5%,2%,2%,
  └─ Other Cost %,4%,6%,7%,12%,48%,7%,6%,
Operating Profit,0.38,-0.12,-0.14,-0.32,-1.94,-0.03,0.27,-0.05
OPM %,4.21%,-1.66%,-2.72%,-6.30%,-45.01%,-0.63%,2.40%,-0.48%
Other Income,-0.01,0.48,0.59,0.91,1.06,0.45,1.01,0.67
  └─ Exceptional items,-0.01,-0.02,0.01,0.00,0.26,-0.19,0.62,
  └─ Other income normal,0.00,0.50,0.58,0.91,0.80,0.64,0.39,
Interest,0.13,0.14,0.15,0.36,0.12,0.36,0.48,0.49
Depreciation,0.02,0.02,0.02,0.02,0.01,0.01,0.00,0.00
Profit before tax,0.22,0.20,0.28,0.21,-1.01,0.05,0.80,0.13
Tax %,31.82%,30.00%,25.00%,9.52%,12.87%,60.00%,15.00%,
Net Profit,-0.82,0.16,0.24,0.20,-1.14,0.02,0.68,0.06
  └─ Profit from Associates,-1,0,0,0,0,0,0,
  └─ Exceptional items AT,0,-0,0,0,0,0,0,
  └─ Profit excl Excep,-1,0,0,0,-1,-0,0,
  └─ Profit for PE,-1,0,0,0,-1,-0,0,
  └─ Profit for EPS,-1,0,0,0,-1,0,1,
  └─ Profit Growth %,,121%,35%,-13%,-785%,93%,311%,
EPS in Rs,-0.05,0.01,0.01,0.01,-0.07,0.00,0.04,0.00
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
