Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,947,701,743,1429,3144,6519,7824
  └─ Sales Growth %,,-25.94%,5.90%,92.30%,120.07%,107.35%,20.03%
Expenses,853,648,713,1350,2666,4738,5447
  └─ Material Cost %,75%,74%,79%,82%,75%,62%,60%
    └─ Raw material cost,738,529,627,1267,2468,4075,5003
    └─ Change in inventory,-26,-8,-40,-93,-124,-62,-315
  └─ Manufacturing Cost %,9%,10%,8%,6%,5%,4%,0%
  └─ Employee Cost %,2%,3%,3%,3%,2%,2%,2%
  └─ Other Cost %,4%,5%,6%,4%,3%,5%,8%
Operating Profit,94,54,30,78,478,1781,2377
OPM %,10%,8%,4%,5%,15%,27%,30%
Other Income,19,35,25,36,29,134,207
  └─ Exceptional items,0,3,1,2,0,12,0
  └─ Other income normal,18,32,24,34,28,122,207
Interest,35,22,43,69,121,177,158
Depreciation,17,12,28,53,96,498,452
Profit before tax,61,56,-16,-8,289,1240,1973
Tax %,26%,54%,-8%,72%,20%,24%,23%
Net Profit,45,26,-14,-13,231,937,1510
  └─ Minority share,-8,-2,0,1,0,0,0
  └─ Exceptional items AT,0,2,1,2,0,8,0
  └─ Profit excl Excep,45,24,-15,-15,231,929,1510
  └─ Profit for PE,37,22,-15,-15,231,929,1510
  └─ Profit for EPS,37,23,-14,-13,231,937,1510
  └─ Profit Growth %,,-40%,-169%,3%,1656%,302%,63%
EPS in Rs,1.50,0.94,-0.55,-0.49,8.78,20.79,33.33
Dividend Payout %,0%,0%,0%,0%,0%,2%,1%
