Metric,Mar 2025,Mar 2026
Sales,45.66,21.64
  └─ Sales Growth %,,-53%
Expenses,39.27,20.65
  └─ Material Cost %,61.02%,46.44%
    └─ Raw material cost,27.84,11.81
    └─ Change in inventory,0.02,-1.76
  └─ Employee Cost %,8.06%,25.14%
  └─ Other Cost %,16.93%,23.84%
Operating Profit,6.39,0.99
OPM %,13.99%,4.57%
Other Income,0.88,0.60
  └─ Other income normal,0.88,0.60
Interest,0.00,0.00
Depreciation,0.50,0.93
Profit before tax,6.77,0.66
Tax %,25.26%,25.76%
Net Profit,5.06,0.49
  └─ Profit excl Excep,5,0
  └─ Profit for PE,5,0
  └─ Profit for EPS,5,0
  └─ Profit Growth %,,-90%
EPS in Rs,12.40,1.20
Dividend Payout %,4.03%,0.00%
