Metric,Mar 20156m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2015
Sales,13.47,7.07,1.95,2.25,0.33,0.21,0.00,0.00,79.67,326.38,239.04,91.50,
  └─ Sales Growth %,,-48%,-72%,15%,-85%,-36%,-100%,,,310%,-27%,-62%,-94%
Expenses,29.61,30.28,21.73,0.71,219.79,56.74,6.60,0.53,79.48,285.09,227.86,82.43,
  └─ Material Cost %,,18%,762%,6%,3%,0%,,,64%,51%,47%,80%,76%
    └─ Raw material cost,,1,4,0,0,0,0,0,51,166,113,73,8
    └─ Change in inventory,,0,11,0,0,0,0,0,0,0,0,0,3
  └─ Manufacturing Cost %,,18%,117%,10%,42%,62%,,,24%,32%,42%,0%,8%
  └─ Employee Cost %,,233%,57%,13%,91%,138%,,,6%,2%,3%,5%,102%
  └─ Other Cost %,,160%,179%,3%,66467%,26819%,,,6%,2%,3%,5%,33%
Operating Profit,-16.14,-23.21,-19.78,1.54,-219.46,-56.53,-6.60,-0.53,0.19,41.29,11.18,9.07,
OPM %,-119.82%,-328.29%,-1014.36%,68.44%,-66503.03%,-26919.05%,,,0.24%,12.65%,4.68%,9.91%,
Other Income,0.68,-4.08,23.62,39.54,9.34,0.00,-1.78,-55.38,23.97,1.83,3.95,4.46,
  └─ Exceptional items,,-4.70,0.00,0.00,0.00,0.00,-1.78,-55.48,22.77,-0.55,-0.05,0.32,-1.40
  └─ Other income normal,,0.62,23.62,39.54,9.34,0.00,0.00,0.10,1.20,2.38,4.00,4.14,2.08
Interest,25.30,5.30,3.88,-0.05,4.87,0.02,0.00,3.50,4.31,6.06,8.46,8.80,
Depreciation,6.35,11.63,9.19,9.17,9.23,4.21,0.00,0.00,0.21,0.73,2.02,1.77,
Profit before tax,-47.11,-44.22,-9.23,31.96,-224.22,-60.76,-8.38,-59.41,19.64,36.33,4.65,2.96,
Tax %,-1.53%,1.33%,0.98%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-29.20%,481.72%,25.34%,
Net Profit,-46.39,-44.81,-9.33,31.96,-224.21,-60.76,-8.38,-59.41,19.64,46.94,-17.75,2.21,
  └─ Minority share,,1,0,0,0,0,0,0,0,0,0,0,-0
  └─ Exceptional items AT,,-5,0,0,0,0,-2,-55,6,-1,0,0,-1
  └─ Profit excl Excep,,-40,-9,32,-224,-61,-7,-4,13,47,-18,2,-45
  └─ Profit for PE,,-39,-9,32,-224,-61,-7,-4,13,47,-18,2,-45
  └─ Profit for EPS,,-44,-9,32,-224,-61,-8,-59,20,47,-18,3,-47
  └─ Profit Growth %,,14%,76%,443%,-802%,73%,89%,40%,439%,257%,-137%,113%,65%
EPS in Rs,-22.10,-20.62,-4.41,15.12,-85.38,-23.14,-3.19,-22.62,4.70,9.33,-2.77,0.34,
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
