Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1132,1362,1554,1653,1952
  └─ Sales Growth %,,20.26%,14.08%,6.42%,18.07%
Expenses,836,1064,1189,1295,1585
  └─ Material Cost %,0.46%,0.05%,0.04%,0.08%,0.47%
    └─ Raw material cost,4.05,0.25,0.50,1.28,9.14
    └─ Change in inventory,1.18,0.42,0.05,0.00,0.04
  └─ Manufacturing Cost %,0.63%,0.71%,0.43%,0.41%,0.00%
  └─ Employee Cost %,50.64%,50.98%,48.49%,48.13%,44.73%
  └─ Other Cost %,22.05%,26.38%,27.56%,29.68%,35.98%
Operating Profit,297,298,365,359,367
OPM %,26%,22%,23%,22%,19%
Other Income,11,-6,27,34,63
  └─ Exceptional items,-2.60,-20.60,-5.13,-10.95,27.22
  └─ Other income normal,13.94,14.81,31.90,44.54,35.96
Interest,4,17,35,24,23
Depreciation,42,47,59,62,76
Profit before tax,262,228,297,306,331
Tax %,23%,16%,28%,26%,25%
Net Profit,202,192,213,228,248
  └─ Exceptional items AT,-2,-17,-4,-8,20
  └─ Profit excl Excep,204,209,217,236,228
  └─ Profit for PE,204,209,217,236,228
  └─ Profit for EPS,202,192,213,228,248
  └─ Profit Growth %,,3%,4%,9%,-3%
EPS in Rs,,,15.75,16.71,18.01
Dividend Payout %,0%,0%,33%,18%,18%
