Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,0,147,698,974,2413,4274
  └─ Sales Growth %,,,376%,40%,148%,77%
Expenses,1,38,142,212,441,828
  └─ Manufacturing Cost %,,5.80%,13.05%,15.61%,13.93%,0.00%
  └─ Employee Cost %,,0.01%,0.44%,1.22%,1.06%,1.26%
  └─ Other Cost %,,19.81%,6.81%,4.93%,3.26%,18.11%
Operating Profit,-1,109,556,762,1973,3446
OPM %,,74%,80%,78%,82%,81%
Other Income,0,3,3,1,2,48
  └─ Other income normal,0.00,3.19,3.26,0.60,2.38,48.13
Interest,0,32,166,280,1055,1723
Depreciation,0,11,176,248,797,1451
Profit before tax,-1,70,217,235,122,320
Tax %,0%,2%,-18%,-25%,-166%,-114%
Net Profit,-1,68,257,294,325,686
  └─ Profit excl Excep,-1,68,257,294,325,686
  └─ Profit for PE,-1,68,257,294,325,686
  └─ Profit for EPS,-1,68,257,294,325,686
  └─ Profit Growth %,,10153%,276%,15%,10%,111%
EPS in Rs,,1.15,3.54,2.24,1.68,3.54
Dividend Payout %,0%,0%,0%,0%,0%,386%
