Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales,34.30,38.80,43.36,49.53,47.19,1745.17,25.69,38.11,22.03,29.79
  └─ Sales Growth %,,13.12%,11.75%,14.23%,-4.72%,3598.18%,-98.53%,48.35%,-42.19%,
Expenses,29.16,32.43,36.75,42.31,41.81,1708.57,24.94,36.78,27.02,34.73
  └─ Manufacturing Cost %,1%,2%,1%,1%,0%,98%,1%,1%,1%,
  └─ Employee Cost %,24%,24%,27%,27%,31%,1%,41%,35%,45%,
  └─ Other Cost %,60%,58%,57%,57%,58%,-1%,55%,61%,77%,
Operating Profit,5.14,6.37,6.61,7.22,5.38,36.60,0.75,1.33,-4.99,-4.94
OPM %,14.99%,16.42%,15.24%,14.58%,11.40%,2.10%,2.92%,3.49%,-22.65%,-16.58%
Other Income,-0.38,0.26,0.26,0.04,0.39,2.90,0.97,0.20,-0.30,0.61
  └─ Exceptional items,-0.74,0.03,-0.00,-0.00,-0.01,38.16,0.07,-0.00,-1.14,
  └─ Other income normal,0.36,0.23,0.26,0.04,0.40,-35.26,0.90,0.20,0.84,
Interest,2.58,3.44,4.33,4.70,4.57,3.10,1.27,1.45,0.48,0.53
Depreciation,0.46,0.37,0.62,0.26,0.41,0.62,0.39,0.82,1.20,1.21
Profit before tax,1.72,2.82,1.92,2.30,0.79,35.78,0.06,-0.74,-6.97,-6.07
Tax %,22.67%,-15.60%,30.21%,43.04%,18.99%,24.01%,-83.33%,-29.73%,-26.26%,
Net Profit,1.33,3.27,1.35,1.32,0.63,27.19,0.11,-0.52,-5.14,-4.56
  └─ Exceptional items AT,-1,0,0,0,-0,30,0,0,-1,
  └─ Profit excl Excep,2,3,1,1,1,-2,0,-1,-4,
  └─ Profit for PE,2,3,1,1,1,-2,0,-1,-4,
  └─ Profit for EPS,1,3,1,1,1,27,0,-1,-5,
  └─ Profit Growth %,,71%,-58%,-2%,-52%,-470%,102%,-1140%,-669%,
EPS in Rs,1.15,2.83,1.17,1.14,0.54,23.50,0.10,-0.45,-4.44,-3.95
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,18.13%,1581.82%,-334.62%,0.00%,
