Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,591,789,894,1126,1999,2937,3629,3740,3813,4363
  └─ Sales Growth %,,33.56%,13.32%,25.93%,,46.87%,23.59%,3.06%,1.94%,14.42%
Expenses,550,756,818,1099,1688,2578,3293,3486,3651,4117
  └─ Material Cost %,82%,86%,81%,88%,64%,77%,81%,83%,83%,82%
    └─ Raw material cost,500,684,725,999,1299,2278,2967,3107,3165,3599
    └─ Change in inventory,-14,-8,1,-8,-11,-6,-43,-14,14,-30
  └─ Manufacturing Cost %,1%,1%,1%,0%,7%,1%,1%,1%,1%,0%
  └─ Employee Cost %,2%,1%,2%,1%,3%,3%,2%,2%,2%,2%
  └─ Other Cost %,9%,8%,8%,8%,10%,7%,7%,8%,9%,10%
Operating Profit,41,33,76,27,311,358,336,254,162,245
OPM %,7%,4%,9%,2%,16%,12%,9%,7%,4%,6%
Other Income,20,39,26,23,39,31,23,71,46,45
  └─ Exceptional items,2.64,7.18,0.34,0.71,10.24,6.49,10.09,17.47,33.60,0.00
  └─ Other income normal,17.66,31.98,25.84,22.31,28.98,24.31,12.85,53.09,12.37,45.09
Interest,1,2,3,5,9,19,35,38,28,19
Depreciation,9,10,14,19,21,21,21,23,24,27
Profit before tax,51,61,85,26,320,348,303,264,156,244
Tax %,27%,22%,27%,34%,26%,25%,25%,24%,27%,26%
Net Profit,37,47,62,17,237,260,226,201,113,182
  └─ Exceptional items AT,2,5,0,0,8,5,7,13,24,0
  └─ Profit excl Excep,36,42,62,17,230,256,218,187,89,182
  └─ Profit for PE,36,42,62,17,230,256,218,187,89,182
  └─ Profit for EPS,37,47,62,17,237,260,226,201,113,182
  └─ Profit Growth %,,18%,47%,-73%,,11%,-15%,-14%,-52%,104%
EPS in Rs,,6.50,8.49,2.37,33.69,37.70,32.66,29.05,16.38,26.52
Dividend Payout %,29%,28%,27%,42%,9%,13%,12%,14%,24%,19%
