Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,79,104,176,250,439,744,1090
  └─ Sales Growth %,,32.24%,68.98%,42.00%,75.53%,69.58%,46.60%
Expenses,73,97,168,236,413,652,948
  └─ Material Cost %,69.19%,71.22%,78.29%,82.68%,86.25%,70.22%,43.75%
    └─ Raw material cost,58,76,144,210,394,565,553
    └─ Change in inventory,-3,-2,-6,-3,-15,-43,-76
  └─ Manufacturing Cost %,11.48%,13.68%,2.92%,1.24%,0.35%,0.50%,0.00%
  └─ Employee Cost %,3.18%,2.84%,2.80%,2.28%,1.83%,1.02%,1.08%
  └─ Other Cost %,8.69%,5.02%,11.33%,8.44%,5.77%,15.88%,42.10%
Operating Profit,6,8,8,13,25,92,142
OPM %,7%,7%,5%,5%,6%,12%,13%
Other Income,0,0,2,0,1,-0,19
  └─ Exceptional items,0.00,0.00,1.51,-1.64,0.35,-3.16,0.00
  └─ Other income normal,0.16,0.16,0.47,2.08,0.99,2.71,18.65
Interest,2,2,4,3,5,17,25
Depreciation,1,2,2,3,3,2,7
Profit before tax,3,3,4,8,19,72,130
Tax %,28%,30%,27%,27%,25%,30%,24%
Net Profit,2,2,3,6,14,51,98
  └─ Minority share,0,0,0,0,0,0,-7
  └─ Exceptional items AT,0,0,1,-1,0,-2,0
  └─ Profit excl Excep,2,2,2,7,14,53,98
  └─ Profit for PE,2,2,2,7,14,53,91
  └─ Profit for EPS,2,2,3,6,14,51,91
  └─ Profit Growth %,,5%,-18%,239%,97%,286%,72%
EPS in Rs,1.76,1.82,2.30,5.21,12.80,32.95,49.25
Dividend Payout %,32%,40%,0%,0%,8%,3%,0%
