Metric,Jun 2006,Jun 2007,Dec 200818m,Dec 2009,Mar 201115m,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Dec 2008,Mar 2011
Sales,1008,939,1854,1998,3063,2129,2297,1987,837,821,926,529,,
  └─ Sales Growth %,,-6.88%,,7.76%,,-30.51%,7.91%,-13.48%,-57.91%,-1.85%,12.84%,-42.91%,97.46%,53.30%
Expenses,796,835,1655,1835,2815,1888,2090,1826,723,778,812,566,,
  └─ Material Cost %,52%,47%,,58%,,55%,57%,51%,60%,65%,67%,78%,47%,64%
    └─ Raw material cost,504,475,,1249,,1192,1327,1035,461,531,623,399,855,1935
    └─ Change in inventory,18,-33,,-80,,-24,-25,-22,37,3,-6,16,8,15
  └─ Manufacturing Cost %,18%,24%,,18%,,21%,22%,25%,17%,20%,10%,14%,25%,18%
  └─ Employee Cost %,4%,4%,,7%,,8%,8%,10%,7%,7%,7%,11%,10%,6%
  └─ Other Cost %,6%,13%,,8%,,5%,5%,6%,2%,2%,4%,3%,9%,5%
Operating Profit,213,104,199,164,248,241,207,161,113,43,114,-37,,
OPM %,21%,11%,11%,8%,8%,11%,9%,8%,14%,5%,12%,-7%,,
Other Income,5,66,-6,51,10,10,9,469,32,37,126,-12,,
  └─ Exceptional items,0.11,23.85,,-0.33,,-4.28,0.00,456.96,14.70,0.68,102.12,-18.86,-66.06,-7.01
  └─ Other income normal,4.42,41.92,,51.12,,13.82,9.11,12.46,17.71,35.99,24.29,6.57,59.59,16.54
Interest,101,118,234,105,246,190,216,274,131,81,140,150,,
Depreciation,22,25,91,69,129,113,114,128,64,74,57,53,,
Profit before tax,94,26,-133,41,-117,-52,-114,229,-49,-75,43,-252,,
Tax %,0%,2%,-8%,34%,-20%,3%,-20%,-29%,-30%,-27%,30%,-30%,,
Net Profit,94,26,-122,27,-93,-53,-91,295,-41,-47,39,-177,,
  └─ Profit from Associates,0,0,,0,,0,0,0,-6,8,9,0,0,0
  └─ Minority share,-0,-0,,-0,,-1,-1,-5,0,0,0,0,-0,-1
  └─ Exceptional items AT,0,24,,-0,,-4,0,452,15,1,89,-19,-66,-7
  └─ Profit excl Excep,94,2,,27,,-49,-91,-157,-56,-48,-50,-158,-56,-86
  └─ Profit for PE,94,2,,27,,-50,-91,-154,-56,-48,-50,-158,-57,-87
  └─ Profit for EPS,94,25,,27,,-54,-91,290,-41,-47,39,-177,-123,-94
  └─ Profit Growth %,,-98%,,147%,,43%,-83%,-69%,64%,14%,-4%,-216%,-2771%,-427%
EPS in Rs,,,,7.61,-25.48,-14.70,-24.83,30.17,-4.27,-4.94,3.31,-14.90,,
Dividend Payout %,5%,18%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
