Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,6563,7562,9079,9074,9865,10641,10944,12305,11583,11813,13322,16983
  └─ Sales Growth %,9.28%,15.22%,20.07%,-0.05%,8.72%,7.86%,2.85%,12.44%,-5.86%,1.98%,12.77%,27.48%
Expenses,5348,6125,7043,7457,8280,8942,8860,9978,9948,10618,10970,12410
  └─ Material Cost %,28.60%,30.45%,28.79%,33.49%,34.08%,34.76%,33.08%,35.64%,36.76%,37.36%,32.68%,27.95%
    └─ Raw material cost,2132,2443,3074,2905,3421,3571,3809,4396,4498,4609,4567,5358
    └─ Change in inventory,-255,-140,-460,134,-59,128,-189,-11,-241,-196,-214,-611
  └─ Manufacturing Cost %,7.86%,7.51%,6.73%,7.83%,8.23%,7.22%,7.34%,7.41%,5.98%,7.41%,6.26%,0.00%
  └─ Employee Cost %,18.48%,18.23%,18.08%,20.64%,20.85%,21.20%,21.42%,19.90%,22.46%,24.29%,22.70%,21.07%
  └─ Other Cost %,26.55%,24.80%,23.96%,20.22%,20.77%,20.85%,19.11%,18.14%,20.69%,20.82%,20.72%,24.05%
Operating Profit,1214,1437,2037,1617,1586,1699,2084,2327,1635,1195,2351,4572
OPM %,18%,19%,22%,18%,16%,16%,19%,19%,14%,10%,18%,27%
Other Income,-180,20,-44,89,375,191,95,-101,-10,336,-259,-1805
  └─ Exceptional items,-187,0,-79,-2,168,32,45,-267,-293,-502,-373,-2266
  └─ Other income normal,7,20,36,91,208,160,50,167,283,838,114,461
Interest,190,179,237,286,335,377,353,298,349,516,207,209
Depreciation,300,234,264,302,326,417,444,487,569,582,486,573
Profit before tax,544,1044,1491,1119,1301,1096,1382,1441,707,434,1399,1985
Tax %,61%,29%,26%,28%,29%,29%,30%,31%,47%,430%,25%,31%
Net Profit,209,743,1109,804,925,776,970,994,377,-1434,1047,1362
  └─ Minority share,0,0,0,0,0,0,-0,-52,-80,-68,-0,-0
  └─ Exceptional items AT,-54,0,-46,-1,106,20,29,-166,-312,2972,-271,-1590
  └─ Profit excl Excep,263,743,1155,805,819,756,941,1160,690,-4406,1318,2952
  └─ Profit for PE,264,743,1155,805,819,756,941,1099,543,-4474,1318,2951
  └─ Profit for EPS,210,743,1109,804,925,776,970,942,297,-1502,1047,1362
  └─ Profit Growth %,-51%,182%,55%,-30%,2%,-8%,25%,17%,-51%,-923%,129%,124%
EPS in Rs,7.72,26.33,39.29,28.49,32.78,27.50,34.38,33.37,10.53,-53.22,37.11,48.26
Dividend Payout %,26%,8%,5%,7%,6%,9%,7%,7%,24%,-5%,7%,5%
