Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales,822,632,978,1314,1438,1034,976
  └─ Sales Growth %,,-23.02%,54.57%,34.42%,9.43%,-28.07%,
Expenses,443,562,678,786,838,779,839
  └─ Material Cost %,-8.61%,0.54%,7.66%,3.75%,2.61%,-2.89%,
    └─ Raw material cost,24,17,26,30,38,38,
    └─ Change in inventory,-95,-14,48,19,-1,-68,
  └─ Manufacturing Cost %,22.97%,28.07%,18.55%,14.74%,15.77%,22.77%,
  └─ Employee Cost %,32.00%,47.64%,31.49%,30.92%,29.79%,44.74%,
  └─ Other Cost %,7.52%,12.59%,11.63%,10.41%,10.09%,10.68%,
Operating Profit,379,70,300,528,600,256,137
OPM %,46%,11%,31%,40%,42%,25%,14%
Other Income,317,252,221,178,191,181,55
  └─ Exceptional items,0,0,0,0,4,7,
  └─ Other income normal,317,252,221,178,187,174,
Interest,0,0,3,0,0,0,0
Depreciation,45,53,55,62,67,96,90
Profit before tax,650,270,463,643,724,340,102
Tax %,34%,36%,34%,35%,34%,27%,
Net Profit,428,173,307,417,478,248,74
  └─ Exceptional items AT,0,0,0,0,3,5,
  └─ Profit excl Excep,428,173,307,417,476,243,
  └─ Profit for PE,428,173,307,417,476,243,
  └─ Profit for EPS,428,173,307,417,478,248,
  └─ Profit Growth %,,-60%,78%,36%,14%,-49%,
EPS in Rs,12.73,5.14,11.54,16.20,18.57,10.46,3.12
Dividend Payout %,33%,49%,48%,34%,32%,57%,
