Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,87,144,278,353,674,672
  └─ Sales Growth %,,65.15%,93.82%,26.86%,90.85%,-0.37%
Expenses,82,135,260,332,619,604
  └─ Material Cost %,85%,87%,83%,84%,83%,76%
    └─ Raw material cost,78,122,236,302,576,500
    └─ Change in inventory,-3,3,-6,-5,-15,13
  └─ Manufacturing Cost %,0%,1%,1%,2%,1%,0%
  └─ Employee Cost %,5%,4%,3%,4%,3%,4%
  └─ Other Cost %,4%,2%,6%,4%,5%,9%
Operating Profit,5,9,19,21,56,67
OPM %,6%,6%,7%,6%,8%,10%
Other Income,1,1,1,2,2,4
  └─ Exceptional items,-0.23,-0.05,0.00,0.57,0.00,0.00
  └─ Other income normal,0.91,0.58,0.61,1.01,2.36,3.73
Interest,3,2,3,3,7,12
Depreciation,1,2,2,3,6,18
Profit before tax,1,6,14,16,45,40
Tax %,20%,27%,23%,27%,27%,24%
Net Profit,1,4,11,12,33,32
  └─ Profit from Associates,0.00,0.00,0.00,0.00,0.00,0.86
  └─ Minority share,0.00,-0.02,-0.02,-0.04,0.10,1.89
  └─ Exceptional items AT,-0.17,-0.04,0.00,0.43,0.00,0.00
  └─ Profit excl Excep,1.09,4.10,11.06,11.37,32.64,31.66
  └─ Profit for PE,1.09,4.08,11.04,11.33,32.74,33.55
  └─ Profit for EPS,0.92,4.04,11.04,11.76,32.74,33.55
  └─ Profit Growth %,,274.29%,170.60%,2.64%,188.93%,2.47%
EPS in Rs,0.05,0.22,0.52,0.54,1.46,1.49
Dividend Payout %,0%,9%,23%,9%,3%,1%
