Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,612,699,1038,1566,2131,2676,3185,3546,4449
  └─ Sales Growth %,,14.29%,48.45%,50.90%,36.03%,25.58%,19.03%,11.34%,25.48%
Expenses,450,499,795,1125,1571,1980,2282,2579,3368
  └─ Material Cost %,27.37%,29.33%,42.93%,41.20%,44.38%,45.60%,43.15%,43.56%,47.13%
    └─ Raw material cost,176,193,442,709,989,1180,1406,1524,2142
    └─ Change in inventory,-8,12,3,-64,-44,40,-32,21,-45
  └─ Manufacturing Cost %,28.56%,28.43%,16.48%,16.11%,16.08%,15.60%,15.22%,14.71%,0.00%
  └─ Employee Cost %,6.85%,7.03%,10.09%,9.59%,8.08%,6.88%,8.02%,9.04%,9.76%
  └─ Other Cost %,10.72%,6.56%,7.12%,4.93%,5.18%,5.92%,5.29%,5.41%,18.82%
Operating Profit,162,200,243,441,560,696,902,967,1081
OPM %,26%,29%,23%,28%,26%,26%,28%,27%,24%
Other Income,3,76,237,-12,32,8,15,116,72
  └─ Exceptional items,-0,-0,233,-14,12,4,1,21,-51
  └─ Other income normal,3,77,4,2,20,4,14,95,123
Interest,19,18,26,33,18,17,26,30,23
Depreciation,23,31,67,97,142,178,220,254,288
Profit before tax,122,228,387,300,432,509,671,798,842
Tax %,37%,24%,7%,28%,16%,22%,23%,25%,25%
Net Profit,78,173,360,215,362,395,518,600,629
  └─ Minority share,-0,-0,0,0,0,0,-1,2,11
  └─ Exceptional items AT,-0,-0,211,-10,10,3,1,16,-38
  └─ Profit excl Excep,78,173,149,225,352,392,517,584,667
  └─ Profit for PE,78,173,149,225,352,392,517,585,678
  └─ Profit for EPS,77,173,360,215,362,395,517,601,640
  └─ Profit Growth %,,124%,-14%,51%,56%,12%,32%,13%,16%
EPS in Rs,27.93,62.40,76.42,3.76,6.19,6.75,8.82,9.67,10.29
Dividend Payout %,0%,0%,55%,504%,25%,42%,35%,33%,33%
