Metric,Mar 2006,Mar 2007,Mar 2013,Mar 2014,Mar 2015,Mar 2025,Mar 2026
Sales,92,64,157,213,298,1075,1019
  └─ Sales Growth %,,-31.09%,,35.65%,40.02%,,-5.20%
Expenses,89,60,145,195,268,947,876
  └─ Material Cost %,54%,64%,63%,63%,61%,47%,58%
    └─ Raw material cost,49,40,103,142,182,539,611
    └─ Change in inventory,0,0,-4,-8,1,-29,-24
  └─ Manufacturing Cost %,25%,12%,20%,17%,17%,27%,7%
  └─ Employee Cost %,2%,2%,3%,4%,6%,4%,6%
  └─ Other Cost %,16%,17%,7%,8%,6%,9%,16%
Operating Profit,3,3,12,18,31,128,143
OPM %,4%,5%,7%,9%,10%,12%,14%
Other Income,3,4,3,5,4,5,6
  └─ Exceptional items,-0.08,0.71,0.00,0.00,2.14,0.00,0.00
  └─ Other income normal,2.91,3.03,2.74,5.16,1.96,4.68,6.05
Interest,3,2,4,7,7,6,6
Depreciation,3,3,5,7,10,17,24
Profit before tax,1,2,6,10,18,110,118
Tax %,-184%,20%,40%,40%,33%,26%,25%
Net Profit,3,1,3,6,12,81,88
  └─ Exceptional items AT,-0,1,0,0,1,0,0
  └─ Profit excl Excep,3,1,3,6,11,81,88
  └─ Profit for PE,3,1,3,6,11,81,88
  └─ Profit for EPS,3,1,3,6,12,81,88
  └─ Profit Growth %,,-74%,,76%,87%,,9%
EPS in Rs,,,1.83,3.23,6.82,45.04,44.05
Dividend Payout %,0%,14%,0%,0%,4%,4%,5%
